configured_index,label,start_node,end_node,length_m,root_to_proximal_m,root_to_distal_m,proximal_radius_m,distal_radius_m,youngs_modulus_pa,outlet,terminal_by_topology,R1_pa_s_m3,R2_pa_s_m3,C_m3_pa
46,left_gastric,46,47,0.0928669141,0.31829522679999994,0.4111621408999999,0.00150666,0.00150666,225000.0,wk3,True,34339350287.2,137357401149.0,1.64947997e-12
47,splenic_II,46,48,0.0644027418,0.31829522679999994,0.38269796859999994,0.00216682,0.00216682,225000.0,wk3,True,473332350.9,1893329403.6,1.1966659457e-10
48,superior_mesenteric,44,49,0.2163983238,0.31151108289999996,0.5279094067,0.00392612,0.00392612,225000.0,wk3,True,218192533.0,872770131.9,2.5959674129e-10
49,abdominal_aorta_II,44,50,0.0043191256,0.31151108289999996,0.31583020849999993,0.007319121,0.0072648393,225000.0,,False,,,
50,renal_L,50,51,0.021836535,0.31583020849999993,0.3376667434999999,0.0027089,0.0027089,225000.0,wk3,True,226281607.5,905126430.2,2.5031672325e-10
51,abdominal_aorta_III,50,52,0.0119772827,0.31583020849999993,0.3278074911999999,0.0072648393,0.0071143118,225000.0,,False,,,
52,renal_R,52,53,0.0377174249,0.3278074911999999,0.36552491609999993,0.00309737,0.00309737,225000.0,wk3,True,227041378.8,908165515.3,2.4947906336e-10
53,abdominal_aorta_IV,52,54,0.0540893766,0.3278074911999999,0.38189686779999993,0.0071143118,0.00643453,225000.0,,False,,,
54,inferior_mesenteric,54,55,0.0902385435,0.38189686779999993,0.4721354112999999,0.00207748,0.00207748,225000.0,wk3,True,2391290071.9,9565160287.5,2.368682545e-11
55,abdominal_aorta_V,54,56,0.042224742,0.38189686779999993,0.4241216097999999,0.00643453,0.00590386,225000.0,,False,,,
56,common_iliac_R,56,57,0.076428564,0.4241216097999999,0.5005501737999999,0.00449868,0.00409113,225000.0,,False,,,
57,common_iliac_L,56,58,0.0740380184,0.4241216097999999,0.4981596281999999,0.00449868,0.00409113,225000.0,,False,,,
58,external_iliac_R,57,59,0.102210634,0.5005501737999999,0.6027608077999999,0.00337758,0.003189,225000.0,,False,,,
59,internal_iliac_R,57,60,0.0725094209,0.5005501737999999,0.5730595946999999,0.00281829,0.00281829,225000.0,wk3,True,414555626.7,1658222507.0,1.3663322092e-10
60,femoral_R_I,59,61,0.0315912244,0.6027608077999999,0.6343520321999998,0.003189,0.0031437249,225000.0,,False,,,
61,profunda_femoris_R,61,62,0.2383937248,0.6343520321999998,0.8727457569999998,0.00214445,0.00214445,225000.0,wk3,True,342687217.5,1370748870.1,1.6528795833e-10
62,femoral_R_II,61,63,0.3192853229,0.6343520321999998,0.9536373550999998,0.0031437249,0.00268614,225000.0,,False,,,
63,popliteal_R_I,63,64,0.1320290229,0.9536373550999998,1.0856663779999998,0.00268614,0.0023676798,225000.0,,False,,,
64,anterior_tibial_R,64,65,0.3862156733,1.0856663779999998,1.4718820512999997,0.0011663,0.0011663,225000.0,wk3,True,2452511040.7,9810044163.0,2.309554151e-11
65,popliteal_R_II,64,66,0.0087974289,1.0856663779999998,1.0944638068999997,0.0023676798,0.00234646,225000.0,,False,,,
66,tibiofibular_trunk_R,66,67,0.0361626766,1.0944638068999997,1.1306264834999997,0.00234646,0.00234646,225000.0,,False,,,
67,posterior_tibial_R,67,68,0.3828848516,1.1306264834999997,1.5135113350999998,0.00122936,0.00122936,225000.0,wk3,True,2115636908.3,8462547633.2,2.677305842e-11
68,external_iliac_L,58,69,0.1022106793,0.4981596281999999,0.6003703075,0.00337758,0.003189,225000.0,,False,,,
69,internal_iliac_L,58,70,0.0725093924,0.4981596281999999,0.5706690205999999,0.00281829,0.00281829,225000.0,wk3,True,415797178.2,1663188712.7,1.3622524035e-10
70,femoral_L_I,69,71,0.0315912236,0.6003703075,0.6319615311,0.003189,0.0031437249,225000.0,,False,,,
71,profunda_femoris_L,71,72,0.2383937548,0.6319615311,0.8703552859,0.00214445,0.00214445,225000.0,wk3,True,342869623.5,1371478494.0,1.652e-10
72,femoral_L_II,71,73,0.3192853183,0.6319615311,0.9512468493999999,0.0031437249,0.00268614,225000.0,,False,,,
73,popliteal_L_I,73,74,0.1320280854,0.9512468493999999,1.0832749348,0.00268614,0.0023676798,225000.0,,False,,,
74,anterior_tibial_L,74,75,0.3862164058,1.0832749348,1.4694913405999999,0.0011663,0.0011663,225000.0,wk3,True,2453282529.0,9813130116.1,2.308827861e-11
75,popliteal_L_II,74,76,0.0087973824,1.0832749348,1.0920723172,0.0023676798,0.00234646,225000.0,,False,,,
76,tibiofibular_trunk_L,76,77,0.0361636403,1.0920723172,1.1282359575,0.00234646,0.00234646,225000.0,,False,,,
77,posterior_tibial_L,77,78,0.3828846476,1.1282359575,1.5111206051000001,0.00122936,0.00122936,225000.0,wk3,True,2116559027.0,8466236107.9,2.676139423e-11
