pair_id,direct_systolic_mmHg,modifier_systolic_mmHg,direct_minus_modifier_systolic_mmHg,direct_diastolic_mmHg,modifier_diastolic_mmHg,direct_minus_modifier_diastolic_mmHg,direct_map_mmHg,modifier_map_mmHg,direct_minus_modifier_map_mmHg,direct_heart_rate_per_min,modifier_heart_rate_per_min,direct_minus_modifier_heart_rate_per_min,direct_cardiac_output_L_min,modifier_cardiac_output_L_min,direct_minus_modifier_cardiac_output_L_min,direct_svr_mmHg_s_mL,modifier_svr_mmHg_s_mL,direct_minus_modifier_svr_mmHg_s_mL,direct_BrainVasculature_inflow_mL_min,modifier_BrainVasculature_inflow_mL_min,direct_minus_modifier_BrainVasculature_inflow_mL_min,direct_LeftKidneyVasculature_inflow_mL_min,modifier_LeftKidneyVasculature_inflow_mL_min,direct_minus_modifier_LeftKidneyVasculature_inflow_mL_min,direct_RightKidneyVasculature_inflow_mL_min,modifier_RightKidneyVasculature_inflow_mL_min,direct_minus_modifier_RightKidneyVasculature_inflow_mL_min,direct_GutVasculature_inflow_mL_min,modifier_GutVasculature_inflow_mL_min,direct_minus_modifier_GutVasculature_inflow_mL_min,direct_LiverVasculature_inflow_mL_min,modifier_LiverVasculature_inflow_mL_min,direct_minus_modifier_LiverVasculature_inflow_mL_min,direct_MuscleVasculature_inflow_mL_min,modifier_MuscleVasculature_inflow_mL_min,direct_minus_modifier_MuscleVasculature_inflow_mL_min,direct_SkinVasculature_inflow_mL_min,modifier_SkinVasculature_inflow_mL_min,direct_minus_modifier_SkinVasculature_inflow_mL_min,direct_MyocardiumVasculature_inflow_mL_min,modifier_MyocardiumVasculature_inflow_mL_min,direct_minus_modifier_MyocardiumVasculature_inflow_mL_min,aortic_flow_normalized_shape_rmse
pair_1,124.82937661225525,119.26438020545157,5.564996406803672,78.2996268956124,73.96563111459722,4.33399578101519,103.029976262439,97.36001164287615,5.669964619562862,72.0153329908933,69.75321961510659,2.2621133757867113,5.983654467259785,5.179505961063407,0.8041485061963778,0.9809980370026976,1.0774501332901596,-0.09645209628746199,687.7305222226059,639.9284920012842,47.80203022132173,525.7741952756764,418.9449587932214,106.82923648245503,525.7741952756755,418.9449587932214,106.82923648245412,806.5181249844667,742.4165622660097,64.10156271845699,1377.0418574396285,1282.5295123590536,94.51234508057496,880.9004929266803,810.5386383198455,70.36185460683475,286.6718524501964,266.7166703226165,19.955182127579917,236.62845759983702,218.01813021413534,18.61032738570168,0.02139516559113337
pair_2,133.5852759852347,128.94248432213703,4.642791663097654,80.40905747017345,74.97360551216167,5.435451958011782,108.34324210996006,102.57565152131878,5.7675905886412835,72.01212132857681,69.43170283298718,2.580418495589626,6.312371264444426,4.7174719170994965,1.5948993473449296,0.9744921511639597,1.2537908815188101,-0.2792987303548504,728.7864250972414,578.7355267362761,150.05089836096522,590.2015395226662,346.80727208070005,243.39426744196612,590.2015395226663,346.80727208070226,243.39426744196402,857.8339175866995,669.8875845717408,187.94633301495867,1435.4161105232772,1169.3908674238783,266.02524309939895,938.984655173495,731.3130547341522,207.6716004393428,303.828054780622,241.12326058552927,62.70479419509272,252.53885057038343,196.33516164714968,56.203688923233756,0.029826287719078998
pair_3,140.63945440333154,136.2972797061627,4.3421746971688435,83.67714893724225,77.40312484045965,6.274024096782597,113.49161204957151,107.24546635814305,6.246145691428467,72.01501274704037,69.53821010302458,2.476802644015791,6.442263522887673,4.353073887042848,2.089189635844825,0.9991967240442664,1.4282307885970194,-0.42903406455275295,720.47421161321,530.4432936725093,190.03091794070065,622.441187379852,306.3494507851258,316.09173659472617,622.4411873798542,306.3494507851243,316.0917365947299,845.2109573090063,614.3236547306668,230.88730257833947,1446.1139891200726,1072.305286879462,373.8087022406105,922.252878455238,670.7687043458071,251.4841741094309,300.3482118707217,221.08335788021955,79.26485399050213,247.62722134288998,180.42009624446982,67.20712509842016,0.03472296285997236
