group,n,inside_pressure_box_n,inside_pressure_box_pct,pressure_box_excluded_n,pressure_box_excluded_pct,too_high_any_component_n,too_high_any_component_pct,too_low_any_component_n,too_low_any_component_pct,high_without_any_low_n,high_without_any_low_pct,low_without_any_high_n,low_without_any_high_pct,mixed_high_and_low_n,mixed_high_and_low_pct,outside_one_component_only_n,outside_one_component_only_pct,systolic_only_outside_n,systolic_only_outside_pct,diastolic_only_outside_n,diastolic_only_outside_pct,both_components_outside_n,both_components_outside_pct,narrow_pulse_additional_exclusion_n,narrow_pulse_additional_exclusion_pct,full_pressure_rules_excluded_n,full_pressure_rules_excluded_pct
Male,2260,436,19.292035398230087,1824,80.70796460176992,1757,77.7433628318584,77,3.4070796460176993,1747,77.30088495575221,67,2.9646017699115044,10,0.4424778761061947,638,28.23008849557522,551,24.38053097345133,87,3.849557522123894,1186,52.47787610619469,1,0.04424778761061947,1825,80.75221238938053
Female,2635,506,19.20303605313093,2129,80.79696394686907,2099,79.6584440227704,46,1.74573055028463,2083,79.05123339658444,30,1.1385199240986716,16,0.6072106261859582,756,28.690702087286528,669,25.38899430740038,87,3.301707779886148,1373,52.106261859582546,3,0.11385199240986717,2132,80.91081593927893
