group,n,inside_pressure_box_n,inside_pressure_box_pct,pressure_box_excluded_n,pressure_box_excluded_pct,too_high_any_component_n,too_high_any_component_pct,too_low_any_component_n,too_low_any_component_pct,high_without_any_low_n,high_without_any_low_pct,low_without_any_high_n,low_without_any_high_pct,mixed_high_and_low_n,mixed_high_and_low_pct,outside_one_component_only_n,outside_one_component_only_pct,systolic_only_outside_n,systolic_only_outside_pct,diastolic_only_outside_n,diastolic_only_outside_pct,both_components_outside_n,both_components_outside_pct,narrow_pulse_additional_exclusion_n,narrow_pulse_additional_exclusion_pct,full_pressure_rules_excluded_n,full_pressure_rules_excluded_pct
50-59,1362,265,19.45668135095448,1097,80.54331864904552,1084,79.58883994126285,15,1.1013215859030836,1082,79.44199706314244,13,0.9544787077826725,2,0.14684287812041116,272,19.970631424375917,230,16.886930983847282,42,3.0837004405286343,825,60.5726872246696,1,0.07342143906020558,1098,80.61674008810573
60-69,1273,216,16.967792615868028,1057,83.03220738413197,1038,81.53967007069913,24,1.8853102906520032,1033,81.14689709347996,19,1.492537313432836,5,0.3927729772191673,371,29.143754909662213,337,26.47289866457188,34,2.670856245090338,686,53.88845247446976,1,0.07855459544383346,1058,83.1107619795758
40-49,887,260,29.31228861330327,627,70.68771138669673,612,68.9966178128523,16,1.8038331454340473,611,68.88387824126268,15,1.6910935738444195,1,0.11273957158962795,164,18.489289740698986,120,13.528748590755356,44,4.96054114994363,463,52.19842164599775,1,0.11273957158962795,628,70.80045095828636
80+,522,65,12.452107279693486,457,87.5478927203065,433,82.95019157088123,34,6.513409961685824,423,81.03448275862068,24,4.597701149425287,10,1.9157088122605364,257,49.23371647509578,231,44.252873563218394,26,4.980842911877395,200,38.31417624521073,0,0.0,457,87.5478927203065
70-79,851,136,15.981198589894243,715,84.01880141010575,689,80.9635722679201,34,3.9952996474735607,681,80.0235017626322,26,3.055229142185664,8,0.9400705052878966,330,38.77790834312574,302,35.487661574618095,28,3.290246768507638,385,45.24089306698002,1,0.11750881316098707,716,84.13631022326675
