cohort,n,age_median,age_iqr,female_pct,sbp_median,dbp_median,pp_median,bmi_median,bmi_iqr
HAALSI Wave 1 (valid pressure),4895,61.0,52.0--71.0,53.8,134.5,81.0,53.0,26.3,22.5--31.1
ELSA Wave 8 (valid pressure),3317,69.0,62.0--77.0,55.4,130.5,72.0,57.5,27.5,24.5--30.8
