grid_id,resistance_multiplier,compliance_multiplier,status,restabilization_wall_s,baseline_systolic_mmHg,baseline_diastolic_mmHg,baseline_map_mmHg,baseline_heart_rate_per_min,baseline_cardiac_output_L_min,baseline_stroke_volume_mL,baseline_systemic_vascular_resistance_mmHg_s_mL,baseline_blood_volume_mL,baseline_baroreceptor_heart_rate_scale,baseline_baroreceptor_heart_elastance_scale,baseline_baroreceptor_resistance_scale,baseline_baroreceptor_compliance_scale,baseline_pulse_pressure_mmHg,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_stroke_volume_mL,achieved_systemic_vascular_resistance_mmHg_s_mL,achieved_blood_volume_mL,achieved_baroreceptor_heart_rate_scale,achieved_baroreceptor_heart_elastance_scale,achieved_baroreceptor_resistance_scale,achieved_baroreceptor_compliance_scale,achieved_pulse_pressure_mmHg
R1.00_C0.50,1.0,0.5,ok,171.2496192920953,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,130.78645718739344,59.48879756600981,96.46435004510344,72.01277922553396,5.827080716702383,80.91637711339087,0.9443234687854942,5520.370410457172,0.999971280738394,0.999998549532242,0.9999877912975622,1.0000032129213108,71.29719935677349
R1.00_C0.55,1.0,0.55,ok,186.5839666130487,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,128.31602192800642,62.07875535490747,96.53543505770807,72.01384170732061,5.8288704402306895,80.94244648127282,0.9447853617083459,5522.2259588190755,0.9999603516979318,0.9999979975605011,0.9999845885062181,1.0000036920668198,66.23656137999092
R1.00_C0.60,1.0,0.6,ok,124.92452252004296,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,125.80147980188104,64.04906773693094,96.22842091961664,72.01394441018651,5.824689267071675,80.88602636107643,0.9423382623689391,5511.868160263057,0.9999650196371768,0.9999982333150095,0.9999860037919249,1.0000034394067039,61.75440439560438
R1.00_C0.65,1.0,0.65,ok,122.70797346695326,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,123.89159035919319,66.03218533190474,96.21610614400666,72.01520356618106,5.824321456902981,80.87704547988554,0.942332839329286,5511.987505542766,0.9999887532898015,0.9999994319843344,0.9999969393549384,1.0000003197746903,57.86211531581397
R1.00_C0.70,1.0,0.7,ok,121.97049640887417,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,122.18913469587115,67.7920661480409,96.18958045364661,72.0131304957974,5.822720686004585,80.85862527330454,0.9423100009894763,5512.109404444911,0.9999487812193615,0.9999974131928968,0.9999792211171623,1.0000052173252592,54.39790394575439
R1.00_C0.75,1.0,0.75,ok,127.86342274607159,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,120.66294007259685,69.3631590451427,96.15460679494757,72.01472774595217,5.820905513561336,80.83190017672878,0.9423209044642159,5512.232622886008,0.9999601304755342,0.9999979863876531,0.9999853485209715,1.0000036172464197,51.30170102650139
R1.00_C0.80,1.0,0.8,ok,139.2789160409011,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,119.28862053203525,70.472073479859,96.11261994295486,72.01201988546129,5.818505997222575,80.80021625367262,0.9422457870742991,5512.355387090602,0.9998739635297165,0.9999936345217026,0.9999472504138789,1.000013672560788,48.81607329963576
R1.00_C0.85,1.0,0.85,ok,123.3917243219912,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,118.03989384984368,71.47512889244734,96.06395166216602,72.01160251119526,5.815750431872992,80.76337648562556,0.9422045494845468,5512.489690384182,0.9998051790006053,0.9999901605555865,0.9999184359428965,1.0000211516624966,46.564074774485704
R1.00_C0.90,1.0,0.9,ok,127.52951620402746,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,116.8968151785163,72.40154831595885,96.00672732888466,72.01042662591558,5.812437526063345,80.71874831828359,0.9422006551281652,5512.636106111261,0.9997080344744422,0.9999852542663858,0.9998769687165122,1.0000323367038688,44.49601764817513
R1.00_C0.95,1.0,0.95,ok,141.23768516490236,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,115.84669474323272,73.25623123262515,95.94395483380751,72.00897271691917,5.809087649031703,80.67118606674609,0.9421896703767884,5512.7928639810725,0.9995722170533098,0.9999783948006731,0.9998194580196353,1.0000469030638648,42.59291502856336
