target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier,estimated_systolic_mmHg,estimated_diastolic_mmHg,estimated_systolic_residual_mmHg,estimated_diastolic_residual_mmHg,estimated_euclidean_residual_mmHg,validation_status,restabilization_wall_s,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_pulse_pressure_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_systolic_residual_mmHg,achieved_diastolic_residual_mmHg,achieved_euclidean_residual_mmHg,validated_within_tolerance
110,95,False,,,,,,,,,,,,,,,,,,,False
110,100,False,,,,,,,,,,,,,,,,,,,False
110,105,False,,,,,,,,,,,,,,,,,,,False
110,110,False,,,,,,,,,,,,,,,,,,,False
110,115,False,,,,,,,,,,,,,,,,,,,False
110,120,False,,,,,,,,,,,,,,,,,,,False
110,125,False,,,,,,,,,,,,,,,,,,,False
115,45,False,,,,,,,,,,,,,,,,,,,False
115,50,False,,,,,,,,,,,,,,,,,,,False
115,55,False,,,,,,,,,,,,,,,,,,,False
115,60,False,,,,,,,,,,,,,,,,,,,False
115,65,False,,,,,,,,,,,,,,,,,,,False
115,70,False,,,,,,,,,,,,,,,,,,,False
115,75,False,,,,,,,,,,,,,,,,,,,False
115,80,False,,,,,,,,,,,,,,,,,,,False
115,85,False,,,,,,,,,,,,,,,,,,,False
115,90,False,,,,,,,,,,,,,,,,,,,False
115,95,False,,,,,,,,,,,,,,,,,,,False
115,100,False,,,,,,,,,,,,,,,,,,,False
115,105,False,,,,,,,,,,,,,,,,,,,False
115,110,False,,,,,,,,,,,,,,,,,,,False
115,115,False,,,,,,,,,,,,,,,,,,,False
115,120,False,,,,,,,,,,,,,,,,,,,False
115,125,False,,,,,,,,,,,,,,,,,,,False
120,45,False,,,,,,,,,,,,,,,,,,,False
120,50,False,,,,,,,,,,,,,,,,,,,False
120,55,False,,,,,,,,,,,,,,,,,,,False
120,60,False,,,,,,,,,,,,,,,,,,,False
120,65,False,,,,,,,,,,,,,,,,,,,False
120,70,True,1.001705586638085,0.7758139495258605,120.00080554782284,70.00037489774982,0.000805547822835706,0.00037489774982191193,0.0008885131499853443,ok,123.04336405498907,119.98416810841414,70.02239452077319,96.19634980116635,49.96202091293195,72.01202818264414,5.814274364469792,-0.015831891585861513,0.022394520773190152,0.02742559665435408,True
