grid_id,resistance_multiplier,compliance_multiplier,status,restabilization_wall_s,baseline_systolic_mmHg,baseline_diastolic_mmHg,baseline_map_mmHg,baseline_heart_rate_per_min,baseline_cardiac_output_L_min,baseline_stroke_volume_mL,baseline_systemic_vascular_resistance_mmHg_s_mL,baseline_blood_volume_mL,baseline_baroreceptor_heart_rate_scale,baseline_baroreceptor_heart_elastance_scale,baseline_baroreceptor_resistance_scale,baseline_baroreceptor_compliance_scale,baseline_pulse_pressure_mmHg,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_stroke_volume_mL,achieved_systemic_vascular_resistance_mmHg_s_mL,achieved_blood_volume_mL,achieved_baroreceptor_heart_rate_scale,achieved_baroreceptor_heart_elastance_scale,achieved_baroreceptor_resistance_scale,achieved_baroreceptor_compliance_scale,achieved_pulse_pressure_mmHg
XR1.600_C0.100,1.6,0.1,ok,110.30523058213294,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,193.7285901541954,38.62872817563847,111.3628324088168,72.01545479770343,4.360883756658545,60.555700930527706,1.481725421983369,5486.867913755306,1.0000224940204947,1.00000113606164,1.0000122689055435,0.9999960463701032,155.10506426626426
XR1.600_C0.200,1.6,0.2,ok,110.51979683386162,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,169.4113529194595,55.89158093113501,112.58050463209112,72.0124077932523,4.407461455515508,61.20543789897381,1.4824945422725246,5486.072712894712,0.9998549652259224,0.9999926750114108,0.999940386989668,1.0000151627189549,113.51616114289446
XR1.600_C0.300,1.6,0.3,ok,117.89045766089112,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,156.12335062719495,69.12322667113925,113.11712567569616,72.013935018425,4.428092007924612,61.48859517366527,1.4828733250415405,5485.46621388745,0.9999939798883196,0.999999695953956,0.9999979596781026,1.0000003867980505,86.99961071839013
XR1.600_C0.400,1.6,0.4,ok,111.27797349798492,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,147.81333885558234,76.258397054949,113.31966147252164,72.01168933414104,4.436001081691415,61.60195568015787,1.4829763223222336,5485.102476767036,0.999822660093343,0.999991043439058,0.9999257146410668,1.0000192726612769,71.55265302214119
XR1.600_C0.500,1.6,0.5,ok,162.65543782617897,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,142.29291060361504,82.97005640496187,113.6882167847452,72.01052829318076,4.411828027463831,61.26598045972773,1.4965434468940004,5484.803533198121,0.9997139346344412,0.9999855522542648,0.9998812913169488,1.0000304851145918,59.32791512026461
XR1.800_C0.100,1.8,0.1,ok,113.66127935890108,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,196.3800995345516,43.08193214761276,115.32550107019554,72.01354740903386,4.043461256878677,56.14951029298079,1.6605127208003272,5481.045111595158,0.999949661521468,0.9999974576525996,0.9999791722448732,1.0000053370510449,153.2987701825586
XR1.800_C0.200,1.8,0.2,ok,111.07322615687735,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,171.44705740717563,62.18825593662573,116.66101213791146,72.014748183076,4.089000794605829,56.77950345105352,1.6615142617660466,5479.765343401215,1.0000343407963106,1.0000017343836514,1.000016945188789,0.9999948774221756,109.2631366109507
XR1.800_C0.300,1.8,0.3,ok,112.26528451009654,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,158.3500448327535,73.87010295415303,117.1880826441292,72.01504346170032,4.107122588487265,57.03186396557909,1.6619044397711362,5478.897233826917,1.0000696630418833,1.0000035183354474,1.0000317055274714,0.9999910992301264,84.48200097299191
XR1.800_C0.400,1.8,0.4,ok,170.66835543210618,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,150.35567345623144,83.3451570595441,117.7407676984931,72.01392665753283,4.07624275248053,56.60266261543592,1.6830732746113015,5474.925078430284,0.9999709515900874,0.9999985329085896,0.9999893110104936,1.0000023721384612,67.00788270043583
XR1.800_C0.500,1.8,0.5,ok,181.35695355013013,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,144.88786466914533,88.61942012639952,117.80795258913908,72.01337813737925,4.0711089829773,56.53369907007703,1.686307198139772,5474.574424464782,0.9999362306377546,0.999996779325139,0.9999740894726974,1.0000065005113847,56.27097729211367
XR2.000_C0.100,2.0,0.1,ok,142.79116268409416,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,198.2954379185176,47.93264449989363,118.9585526084042,72.01355069189418,3.753681769684636,52.124966283341465,1.8503851377405736,5473.20655747385,0.9999534008384188,0.9999976465069912,0.9999810795175604,1.0000047534345942,150.36295905957692
XR2.000_C0.200,2.0,0.2,ok,118.53878737404013,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,173.0037876756055,68.05561518142895,120.19221613144416,72.01358256733849,3.814860098225334,52.97555236643832,1.83980680697953,5474.114211281167,0.9999729955020492,0.9999986361364668,0.9999893419130212,1.000002615877697,104.94859082442528
XR2.000_C0.300,2.0,0.3,ok,110.80914520309308,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,160.04447451166072,79.74206101307011,120.7004511428085,72.0125582561715,3.830749132332506,53.194420960459055,1.8401889343150064,5473.095320819815,0.9999187373084856,0.9999958958236614,0.9999660446906988,1.0000087873770511,80.29924870422556
XR2.000_C0.400,2.0,0.4,ok,113.16970377299003,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519524,0.9999955757905032,0.9999642737257896,1.0000090158914583,40.6742257709992,152.16325820920787,87.78765973668204,120.85811830496353,72.01100369376908,3.835776581125665,53.26559994058023,1.8402815567012305,5472.788427207273,0.9997527646118471,0.9999875133642352,0.9998940260184676,1.0000281145597167,64.37583876742053
