domain,target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier
prescribed,130,105,False,,
prescribed,130,110,False,,
prescribed,130,115,False,,
prescribed,130,120,False,,
prescribed,130,125,False,,
prescribed,130,130,False,,
prescribed,130,135,False,,
prescribed,130,140,False,,
prescribed,135,40,False,,
prescribed,135,45,False,,
prescribed,135,50,False,,
prescribed,135,55,False,,
prescribed,135,60,False,,
prescribed,135,65,False,,
prescribed,135,70,True,1.222459150664789,0.5129545031380969
prescribed,135,75,True,1.3209105046714749,0.5544532598594867
prescribed,135,80,True,1.4056958391044398,0.5933388485206056
prescribed,135,85,True,1.4875322362704806,0.6385659949592957
prescribed,135,90,True,1.6,0.7062222401332221
prescribed,135,95,False,,
prescribed,135,100,False,,
prescribed,135,105,False,,
prescribed,135,110,False,,
prescribed,135,115,False,,
prescribed,135,120,False,,
prescribed,135,125,False,,
prescribed,135,130,False,,
prescribed,135,135,False,,
prescribed,135,140,False,,
prescribed,140,40,False,,
prescribed,140,45,False,,
prescribed,140,50,False,,
prescribed,140,55,False,,
prescribed,140,60,False,,
prescribed,140,65,False,,
prescribed,140,70,False,,
prescribed,140,75,False,,
prescribed,140,80,True,1.4868038628134888,0.5159186357874086
prescribed,140,85,True,1.5902545101622105,0.548401080453838
prescribed,140,90,False,,
prescribed,140,95,False,,
prescribed,140,100,False,,
prescribed,140,105,False,,
prescribed,140,110,False,,
prescribed,140,115,False,,
prescribed,140,120,False,,
prescribed,140,125,False,,
prescribed,140,130,False,,
prescribed,140,135,False,,
prescribed,140,140,False,,
prescribed,145,40,False,,
prescribed,145,45,False,,
prescribed,145,50,False,,
prescribed,145,55,False,,
prescribed,145,60,False,,
prescribed,145,65,False,,
prescribed,145,70,False,,
prescribed,145,75,False,,
prescribed,145,80,False,,
prescribed,145,85,False,,
prescribed,145,90,False,,
prescribed,145,95,False,,
prescribed,145,100,False,,
prescribed,145,105,False,,
prescribed,145,110,False,,
prescribed,145,115,False,,
prescribed,145,120,False,,
prescribed,145,125,False,,
prescribed,145,130,False,,
prescribed,145,135,False,,
prescribed,145,140,False,,
prescribed,150,40,False,,
prescribed,150,45,False,,
prescribed,150,50,False,,
prescribed,150,55,False,,
prescribed,150,60,False,,
prescribed,150,65,False,,
prescribed,150,70,False,,
prescribed,150,75,False,,
prescribed,150,80,False,,
prescribed,150,85,False,,
prescribed,150,90,False,,
prescribed,150,95,False,,
prescribed,150,100,False,,
prescribed,150,105,False,,
prescribed,150,110,False,,
prescribed,150,115,False,,
prescribed,150,120,False,,
prescribed,150,125,False,,
prescribed,150,130,False,,
prescribed,150,135,False,,
prescribed,150,140,False,,
prescribed,155,40,False,,
prescribed,155,45,False,,
prescribed,155,50,False,,
prescribed,155,55,False,,
prescribed,155,60,False,,
prescribed,155,65,False,,
prescribed,155,70,False,,
prescribed,155,75,False,,
prescribed,155,80,False,,
prescribed,155,85,False,,
prescribed,155,90,False,,
prescribed,155,95,False,,
prescribed,155,100,False,,
prescribed,155,105,False,,
prescribed,155,110,False,,
prescribed,155,115,False,,
prescribed,155,120,False,,
prescribed,155,125,False,,
prescribed,155,130,False,,
prescribed,155,135,False,,
prescribed,155,140,False,,
prescribed,160,40,False,,
prescribed,160,45,False,,
prescribed,160,50,False,,
prescribed,160,55,False,,
prescribed,160,60,False,,
prescribed,160,65,False,,
prescribed,160,70,False,,
prescribed,160,75,False,,
prescribed,160,80,False,,
prescribed,160,85,False,,
prescribed,160,90,False,,
prescribed,160,95,False,,
prescribed,160,100,False,,
prescribed,160,105,False,,
prescribed,160,110,False,,
prescribed,160,115,False,,
prescribed,160,120,False,,
prescribed,160,125,False,,
prescribed,160,130,False,,
prescribed,160,135,False,,
prescribed,160,140,False,,
prescribed,165,40,False,,
prescribed,165,45,False,,
prescribed,165,50,False,,
prescribed,165,55,False,,
prescribed,165,60,False,,
prescribed,165,65,False,,
prescribed,165,70,False,,
prescribed,165,75,False,,
prescribed,165,80,False,,
prescribed,165,85,False,,
prescribed,165,90,False,,
prescribed,165,95,False,,
prescribed,165,100,False,,
prescribed,165,105,False,,
prescribed,165,110,False,,
prescribed,165,115,False,,
prescribed,165,120,False,,
prescribed,165,125,False,,
prescribed,165,130,False,,
prescribed,165,135,False,,
prescribed,165,140,False,,
prescribed,170,40,False,,
prescribed,170,45,False,,
prescribed,170,50,False,,
prescribed,170,55,False,,
prescribed,170,60,False,,
prescribed,170,65,False,,
prescribed,170,70,False,,
prescribed,170,75,False,,
