vessel,metric,inlet_effect_direct_minus_modifier_mean_over_R,resistance_effect_direct_minus_modifier_mean_over_inlet,interaction_difference_in_differences
aortic_arch_I,systolic_mmHg,61.83414235201571,-57.811315516528374,-31.022352343381627
aortic_arch_I,diastolic_mmHg,55.31994454182653,-59.50219428491498,-31.621446777691098
aortic_arch_I,mean_mmHg,58.729867646079896,-58.056884299775675,-31.526559088847023
aortic_arch_I,pulse_pressure_mmHg,6.514197810189184,1.6908787683866002,0.5990944343094711
aortic_arch_I,time_to_peak_phase,0.06100000000000001,-0.040999999999999995,0.10200000000000001
external_carotid_R,systolic_mmHg,60.22852647797336,-56.38075017524953,-32.49533050133692
external_carotid_R,diastolic_mmHg,53.980470981896985,-59.09821855068873,-33.33368623757452
external_carotid_R,mean_mmHg,58.750979906127306,-58.224567698729196,-31.584349058981147
external_carotid_R,pulse_pressure_mmHg,6.248055496076379,2.717468375439193,0.8383557362375953
external_carotid_R,time_to_peak_phase,0.11900000000000001,-0.111,-0.24200000000000002
internal_carotid_R,systolic_mmHg,57.482478879180135,-53.80225402305514,-28.854568163820005
internal_carotid_R,diastolic_mmHg,53.81185597902762,-59.17245971656272,-33.87842691361705
internal_carotid_R,mean_mmHg,58.758309510177845,-58.296191660002414,-31.605412421214467
internal_carotid_R,pulse_pressure_mmHg,3.670622900152516,5.370205693507579,5.023858749797043
internal_carotid_R,time_to_peak_phase,0.07600000000000001,-0.066,-0.15200000000000002
