target,replicate,challenge_pair_gate_pass,baseline_direct_minus_modifier_sbp_mmHg,baseline_direct_minus_modifier_dbp_mmHg,baseline_direct_minus_modifier_sodium_mEq_L,baseline_direct_minus_modifier_renal_plasma_flow_mL_min,baseline_direct_minus_modifier_urine_production_mL_min,direct_minus_modifier_peak_delta_map_mmHg,direct_minus_modifier_peak_delta_sbp_mmHg,direct_minus_modifier_peak_delta_dbp_mmHg,direct_minus_modifier_peak_delta_svr_mmHg_s_mL,direct_minus_modifier_minimum_delta_co_L_min,direct_minus_modifier_maximum_absolute_delta_hr_per_min,direct_minus_modifier_peak_sodium_mEq_L,relative_route_contrast_map,relative_route_contrast_svr,relative_route_contrast_co,relative_route_contrast_hr
mild,1,True,0.16123368662209714,-0.08125492635477372,-1.7848367018324893,158.08998294938982,0.3856304890591882,0.3988745296535683,1.3913101882176022,0.2049242407946963,-0.1393255863689038,-0.06701973798038896,-2.6064111516195254,-1.1811708336354343,0.01600306316488389,-0.23413993806493275,-0.08346709444086714,-0.2725092393678779
mild,2,True,0.16123368662209714,-0.08125492635477372,-1.7848367018324893,158.08998294938982,0.3856304890591882,0.3988745296535683,1.3913101882176022,0.2049242407946963,-0.1393255863689038,-0.06701973798038896,-2.6064111516195254,-1.1811708336354343,0.01600306316488389,-0.23413993806493275,-0.08346709444086714,-0.2725092393678779
intermediate,1,True,0.16523858905824795,0.1792045350198208,-2.0186665902688787,277.53592458547183,0.5722426539820531,0.9608171194093842,3.252000337241782,-2.2315070309873875,-0.3244939563933571,-0.15616305651815043,-5.15700628630978,-1.2596155918616887,0.03565451206792698,-0.3785250579677938,-0.19519749057707625,-0.43315038506462833
intermediate,2,True,0.16523858905824795,0.1792045350198208,-2.0186665902688787,277.53592458547183,0.5722426539820531,0.9608171194093842,3.252000337241782,-2.2315070309873875,-0.3244939563933571,-0.15616305651815043,-5.15700628630978,-1.2596155918616887,0.03565451206792698,-0.3785250579677938,-0.19519749057707625,-0.43315038506462833
higher,1,True,-0.06083834118217624,-0.03467580884785093,-2.284574530762711,385.8930864471186,1.1118996263856937,1.3739049842429978,5.085174014873331,-3.776603869457773,-0.5707539539836939,-0.1121015935998253,-6.949882715808769,-1.1591872668376766,0.049586828204206346,-0.529667983962446,-0.13606638557020467,-0.5408102514677827
higher,2,True,-0.06083834118217624,-0.03467580884785093,-2.284574530762711,385.8930864471186,1.1118996263856937,1.3739049842429978,5.085174014873331,-3.776603869457773,-0.5707539539836939,-0.1121015935998253,-6.949882715808769,-1.1591872668376766,0.049586828204206346,-0.529667983962446,-0.13606638557020467,-0.5408102514677827
