phase,concentration_ug_mL,route,rate_mL_s,volume_equivalent_mL,administered_mass_ug,baseline_aortic_sodium_mEq_L,baseline_blood_volume_mL,baseline_urine_production_mL_min,baseline_urine_osmolality_mOsm_kg,baseline_renal_plasma_flow_mL_min,baseline_urinary_sodium_excretion_mg_min,max_aortic_sodium_mEq_L,hypernatremia_first_elapsed_s,min_urine_production_mL_min,max_urinary_sodium_excretion_mg_min,infusion_end_blood_volume_change_mL,run_complete
no-drug baseline,0,direct,0,0,0,142.8818465564114,5480.666249259111,1.848133722163007,575.5144689483602,707.834257729625,7.482603634977884,,,,,,
no-drug baseline,0,modifier,0,0,0,144.90051314668028,5479.990601738855,1.2758910681809539,608.436456731861,430.2983331441532,6.021289146115609,,,,,,
norepinephrine same-mass challenge,1,direct,0.25703567633333335,77.1107029,77.1107029,142.8818465564114,5480.666249259111,1.848133722163007,575.5144689483602,707.834257729625,7.482603634977884,144.53083893615812,,0.7354895147244602,18.546405754019897,-4.4356502044875015,True
norepinephrine same-mass challenge,1,modifier,0.25703567633333335,77.1107029,77.1107029,144.90051314668028,5479.990601738855,1.2758910681809539,608.436456731861,430.2983331441532,6.021289146115609,145.7904545280198,93,0.026800169889126067,15.091575676532411,-13.765789377356668,True
norepinephrine same-mass challenge,4,direct,0.06425891908333334,19.277675725,77.1107029,142.8818465564114,5480.666249259111,1.848133722163007,575.5144689483602,707.834257729625,7.482603634977884,144.53083893615812,,0.7354895147244602,18.546405754019897,-4.4356502044875015,True
norepinephrine same-mass challenge,4,modifier,0.06425891908333334,19.277675725,77.1107029,144.90051314668028,5479.990601738855,1.2758910681809539,608.436456731861,430.2983331441532,6.021289146115609,145.7904545280198,93,0.026800169889126067,15.091575676532411,-13.765789377356668,True
