dose_ug_kg_min,replicate,rate_mL_s,nominal_infusion_volume_equivalent_mL,administered_mass_ug,max_10s_median_delta_MAP_mmHg,max_10s_median_delta_SVR_mmHg_s_mL,three_times_control_MAP_drift_threshold,three_times_control_SVR_drift_threshold,simulation_completed,irreversible_state,screen_pass,selected
0.05,1,0.06425891908333334,19.277675725,19.277675725,0.05531650017067591,0.008583147114734402,0.1659489019848479,0.025748069608620083,True,False,False,False
0.1,1,0.12851783816666668,38.55535145,38.55535145,1.1032147127256167,0.016411543369314607,0.1659489019848479,0.025748069608620083,True,False,False,False
0.2,1,0.25703567633333335,77.1107029,77.1107029,27.90879827755535,0.5327648949373418,0.1659489019848479,0.025748069608620083,True,False,True,True
0.2,2,0.25703567633333335,77.1107029,77.1107029,27.90879827755535,0.5327648949373418,0.1659489019848479,0.025748069608620083,True,False,True,True
