phase,route,concentration_ug_mL,rate_mL_s,baseline_systolic_mmHg,baseline_diastolic_mmHg,baseline_map_mmHg,baseline_aortic_sodium_mEq_L,baseline_aortic_sodium_mg_mL,baseline_blood_volume_mL,baseline_urine_production_mL_min,baseline_urine_osmolality_mOsm_kg,sodium_peak_mEq_L,hypernatremia_first_observed_elapsed_s,blood_volume_change_at_infusion_end_mL,urine_rate_min_mL_min,urine_rate_max_mL_min,urine_osmolality_min_mOsm_kg,urine_osmolality_max_mOsm_kg,irreversible_state,full_660s_completed,mass_rate_ug_s,nominal_volume_equivalent_mL,administered_mass_ug
no_drug_baseline,direct,0.0,0.0,139.95407237137456,89.7605203199959,116.1111377810702,142.8818465564114,3.284825075962587,5480.666249259111,1.848133722163007,575.5144689483602,,,,,,,,False,,,,
no_drug_baseline,modifier,0.0,0.0,139.78883378231632,89.58131578497608,115.84477270482076,144.90051314668028,3.3312338171395504,5479.990601738855,1.2758910681809539,608.436456731861,,,,,,,,False,,,,
norepinephrine,direct,1.0,0.25703567633333335,139.95407237137456,89.7605203199959,,142.8818465564114,,5480.666249259111,1.848133722163007,575.5144689483602,144.53083893615812,,-4.4356502044875015,0.7354895147244602,4.252650166349884,552.411454676104,581.2218598158208,False,True,0.25703567633333335,77.1107029,77.1107029
norepinephrine,modifier,1.0,0.25703567633333335,139.78883378231632,89.58131578497608,,144.90051314668028,,5479.990601738855,1.2758910681809539,608.436456731861,145.7904545280198,93,-13.765789377356668,0.026800169889126067,3.0545908407970392,607.915616975105,618.9581366366875,False,True,0.25703567633333335,77.1107029,77.1107029
norepinephrine,direct,4.0,0.06425891908333334,139.95407237137456,89.7605203199959,,142.8818465564114,,5480.666249259111,1.848133722163007,575.5144689483602,144.53083893615812,,-4.4356502044875015,0.7354895147244602,4.252650166349884,552.411454676104,581.2218598158208,False,True,0.25703567633333335,19.277675725,77.1107029
norepinephrine,modifier,4.0,0.06425891908333334,139.78883378231632,89.58131578497608,,144.90051314668028,,5479.990601738855,1.2758910681809539,608.436456731861,145.7904545280198,93,-13.765789377356668,0.026800169889126067,3.0545908407970392,607.915616975105,618.9581366366875,False,True,0.25703567633333335,19.277675725,77.1107029
