time_s,flow_mL_s,pressure_mmHg
0.0,66.11393431709223,0.0
0.004199999999996109,98.40213479742069,0.0
0.008399999999992218,130.6903352777491,0.0
0.012599999999988327,159.06436844273577,0.0
0.016799999999984435,177.6529833198674,0.0
0.020999999999980548,196.24159819699898,0.0
0.025199999999976654,214.83021307413063,0.0
0.029399999999972767,233.41882795126222,0.0
0.03359999999996887,246.0878115245766,0.0
0.03779999999996498,253.37531209449742,0.0
0.041999999999961096,260.6628126644184,0.0
0.0461999999999572,267.95031323433943,0.0
0.05039999999995331,275.2378138042604,0.0
0.05459999999994942,277.2955682928128,0.0
0.058799999999945535,277.7190271309992,0.0
0.06299999999994163,278.1424859691856,0.0
0.06719999999993774,278.5659448073719,0.0
0.07139999999993386,279.008019216596,0.0
0.07559999999992996,275.73952641098697,0.0
0.07979999999992607,272.47103360537795,0.0
0.08399999999992219,269.2025407997689,0.0
0.08819999999991829,265.9340479941598,0.0
0.0923999999999144,262.2770640981535,0.0
0.09659999999991051,257.37690871289857,0.0
0.10079999999990662,252.47675332764362,0.0
0.10499999999990273,247.57659794238867,0.0
0.10919999999989884,242.6764425571337,0.0
0.11339999999989495,237.57845995402147,0.0
0.11759999999989107,232.26286741126302,0.0
0.12179999999988715,226.94727486850462,0.0
0.12599999999988326,221.63168232574614,0.0
0.13019999999987938,216.31608978298777,0.0
0.13439999999987548,211.16330726494084,0.0
0.1385999999998716,206.07564875677852,0.0
0.14279999999986773,200.98799024861626,0.0
0.14699999999986382,195.90033174045394,0.0
0.15119999999985992,190.81267323229167,0.0
0.15539999999985604,186.21480076275532,0.0
0.15959999999985214,181.64141759515223,0.0
0.16379999999984826,177.0680344275492,0.0
0.16799999999984438,172.4946512599461,0.0
0.17219999999984048,168.0340054027761,0.0
0.17639999999983658,164.05249311493736,0.0
0.1805999999998327,160.0709808270986,0.0
0.1847999999998288,156.08946853925988,0.0
0.18899999999982492,152.10795625142111,0.0
0.19319999999982101,148.35808575342077,0.0
0.19739999999981714,144.91707097520543,0.0
0.20159999999981323,141.4760561969901,0.0
0.20579999999980933,138.03504141877477,0.0
0.20999999999980545,134.59402664055946,0.0
0.21419999999980158,131.38982774215035,0.0
0.21839999999979767,128.30403678364104,0.0
0.2225999999997938,125.21824582513176,0.0
0.2267999999997899,122.13245486662245,0.0
0.23099999999978602,119.04666390811315,0.0
0.23519999999978214,115.84684141446857,0.0
0.23939999999977823,112.63501560133643,0.0
0.2435999999997743,109.4231897882043,0.0
0.24779999999977043,106.21136397507219,0.0
0.2519999999997665,102.7972476780345,0.0
0.2561999999997627,98.16938847765697,0.0
0.26039999999975877,93.54152927727944,0.0
0.26459999999975486,88.91367007690191,0.0
0.26879999999975096,84.28581087652437,0.0
0.2729999999997471,77.88149453489754,0.0
0.2771999999997432,68.5904353388135,0.0
0.2813999999997393,59.29937614272948,0.0
0.28559999999973545,50.00831694664544,0.0
0.28979999999973155,40.717257750561416,0.0
0.29399999999972765,32.344691766579004,0.0
