time_s,flow_mL_s,pressure_mmHg
0.0,81.54848138482473,0.0
0.004199999999999911,121.37448392160006,0.0
0.008399999999999823,161.2004864583754,0.0
0.012599999999999733,198.11370639452633,0.0
0.016799999999999645,227.7449698291182,0.0
0.020999999999999557,257.3762332637101,0.0
0.025199999999999466,287.0074966983021,0.0
0.02939999999999938,316.63876013289405,0.0
0.03359999999999929,339.5299189919154,0.0
0.037799999999999195,356.293710054965,0.0
0.041999999999999114,373.05750111801495,0.0
0.04619999999999902,389.8212921810649,0.0
0.05039999999999893,406.58508324411486,0.0
0.054599999999998844,415.62438536205593,0.0
0.05879999999999876,422.24978468465014,0.0
0.06299999999999867,428.87518400724434,0.0
0.06719999999999858,435.50058332983855,0.0
0.07139999999999849,442.12338388152625,0.0
0.07559999999999839,441.5802987531469,0.0
0.07979999999999832,441.0372136247676,0.0
0.08399999999999823,440.49412849638827,0.0
0.08819999999999813,439.95104336800904,0.0
0.09239999999999804,438.3331839604545,0.0
0.09659999999999795,433.2760468595394,0.0
0.10079999999999786,428.2189097586242,0.0
0.10499999999999778,423.161772657709,0.0
0.10919999999999769,418.1046355567938,0.0
0.1133999999999976,411.89365516067846,0.0
0.11759999999999753,404.4134471398432,0.0
0.12179999999999741,396.9332391190079,0.0
0.12599999999999734,389.4530310981726,0.0
0.13019999999999723,381.97282307733724,0.0
0.13439999999999716,373.8253616521736,0.0
0.13859999999999706,365.4109988652787,0.0
0.14279999999999698,356.9966360783838,0.0
0.1469999999999969,348.58227329148895,0.0
0.15119999999999678,340.167910504594,0.0
0.1553999999999967,331.77953239380645,0.0
0.15959999999999663,323.3924535168243,0.0
0.16379999999999653,315.00537463984216,0.0
0.16799999999999646,306.61829576286004,0.0
0.17219999999999636,298.34145030603065,0.0
0.17639999999999625,290.53309688485075,0.0
0.18059999999999618,282.7247434636708,0.0
0.18479999999999608,274.91639004249095,0.0
0.188999999999996,267.108036621311,0.0
0.1931999999999959,259.6577776255995,0.0
0.19739999999999583,252.6849778638459,0.0
0.20159999999999573,245.7121781020923,0.0
0.20579999999999563,238.73937834033873,0.0
0.20999999999999555,231.7665785785851,0.0
0.21419999999999548,225.38101422740485,0.0
0.21839999999999538,219.2890675815112,0.0
0.2225999999999953,213.19712093561765,0.0
0.2267999999999952,207.10517428972395,0.0
0.23099999999999513,201.01322764383033,0.0
0.23519999999999505,195.58067504989003,0.0
0.23939999999999495,190.2175323561554,0.0
0.24359999999999482,184.85438966242077,0.0
0.24779999999999475,179.49124696868614,0.0
0.2519999999999947,174.16266707241502,0.0
0.25619999999999454,169.04146396092506,0.0
0.26039999999999447,163.92026084943507,0.0
0.2645999999999944,158.79905773794508,0.0
0.2687999999999943,153.6778546264551,0.0
0.27299999999999425,148.1520331795594,0.0
0.2771999999999941,141.96870693762938,0.0
0.28139999999999404,135.78538069569936,0.0
0.28559999999999397,129.6020544537693,0.0
0.2897999999999939,123.41872821183928,0.0
0.2939999999999938,114.58185932903804,0.0
0.2981999999999937,104.11204112877746,0.0
0.30239999999999356,93.64222292851689,0.0
0.3065999999999935,83.1724047282563,0.0
0.3107999999999934,72.70258652799572,0.0
0.31499999999999334,58.38965653521205,0.0
0.31919999999999327,43.43620791034095,0.0
0.32339999999999314,28.482759285469854,0.0
0.32759999999999306,13.529310660598755,0.0
0.331799999999993,0.0,0.0
0.3359999999999929,0.0,0.0
0.34019999999999284,0.0,0.0
0.3443999999999927,0.0,0.0
0.34859999999999264,0.0,0.0
0.3527999999999925,0.0,0.0
0.35699999999999243,0.0,0.0
0.36119999999999236,0.0,0.0
0.36539999999999223,0.0,0.0
0.36959999999999216,0.0,0.0
0.3737999999999921,0.0,0.0
0.377999999999992,0.0,0.0
0.38219999999999194,0.0,0.0
0.3863999999999918,0.0,0.0
0.39059999999999173,0.0,0.0
0.39479999999999166,0.0,0.0
0.3989999999999916,0.0,0.0
0.40319999999999145,0.0,0.0
0.4073999999999914,0.0,0.0
0.41159999999999125,0.0,0.0
0.4157999999999912,0.0,0.0
0.4199999999999911,0.0,0.0
0.42419999999999103,0.0,0.0
0.42839999999999095,0.0,0.0
0.4325999999999908,0.0,0.0
0.43679999999999075,0.0,0.0
0.4409999999999907,0.0,0.0
0.4451999999999906,0.0,0.0
0.44939999999999053,0.0,0.0
0.4535999999999904,0.0,0.0
0.4577999999999903,0.0,0.0
0.46199999999999025,0.0,0.0
0.4661999999999902,0.0,0.0
0.4703999999999901,0.0,0.0
0.47459999999999,0.0,0.0
0.4787999999999899,0.0,0.0
0.4829999999999898,0.0,0.0
0.48719999999998964,0.0,0.0
0.49139999999998957,0.0,0.0
0.4955999999999895,0.0,0.0
0.49979999999998936,0.0,0.0
0.5039999999999893,0.0,0.0
0.5081999999999892,0.0,0.0
0.5123999999999891,0.0,0.0
0.5165999999999891,0.0,0.0
0.5207999999999889,0.0,0.0
0.5249999999999889,0.0,0.0
0.5291999999999888,0.0,0.0
0.5333999999999887,0.0,0.0
0.5375999999999886,0.0,0.0
0.5417999999999885,0.0,0.0
0.5459999999999885,0.0,0.0
0.5501999999999884,0.0,0.0
0.5543999999999882,0.0,0.0
0.5585999999999882,0.0,0.0
0.5627999999999881,0.0,0.0
0.5669999999999881,0.0,0.0
0.5711999999999879,0.0,0.0
0.5753999999999878,0.0,0.0
0.5795999999999878,0.0,0.0
0.5837999999999877,0.0,0.0
0.5879999999999876,0.0,0.0
0.5921999999999874,0.0,0.0
0.5963999999999874,0.0,0.0
0.6005999999999873,0.0,0.0
0.6047999999999871,0.0,0.0
0.6089999999999871,0.0,0.0
0.613199999999987,0.0,0.0
0.617399999999987,0.0,0.0
0.6215999999999868,0.0,0.0
0.6257999999999867,0.0,0.0
0.6299999999999867,0.0,0.0
0.6341999999999866,0.0,0.0
0.6383999999999865,0.0,0.0
0.6425999999999864,0.0,0.0
0.6467999999999863,0.0,0.0
0.6509999999999863,0.0,0.0
0.6551999999999861,0.0,0.0
0.6593999999999861,0.0,0.0
0.663599999999986,0.0,0.0
0.6677999999999858,0.0,0.0
0.6719999999999858,0.0,0.0
0.6761999999999857,0.0,0.0
0.6803999999999857,0.0,0.0
0.6845999999999856,0.0,0.0
0.6887999999999854,0.0,0.0
0.6929999999999854,0.0,0.0
0.6971999999999853,0.0,0.0
0.7013999999999851,0.0,0.0
0.705599999999985,0.0,0.0
0.7097999999999849,0.0,0.0
0.7139999999999849,0.0,0.0
0.7181999999999847,0.0,0.0
0.7223999999999847,0.0,0.0
0.7265999999999846,0.0,0.0
0.7307999999999845,0.0,0.0
0.7349999999999844,0.0,0.0
0.7391999999999843,0.0,0.0
0.7433999999999843,0.0,0.0
0.7475999999999842,0.0,0.0
0.751799999999984,0.0,0.0
0.755999999999984,0.0,0.0
0.7601999999999839,0.0,0.0
0.7643999999999839,0.0,0.0
0.7685999999999837,0.0,0.0
0.7727999999999836,0.0,0.0
0.7769999999999836,0.0,0.0
0.7811999999999835,0.0,0.0
0.7853999999999834,0.0,0.0
0.7895999999999833,0.0,0.0
0.7937999999999832,0.0,0.0
0.7979999999999832,0.0,0.0
0.802199999999983,0.0,0.0
0.8063999999999829,0.0,0.0
0.8105999999999828,0.0,0.0
0.8147999999999828,0.0,0.0
0.8189999999999826,0.0,0.0
0.8231999999999825,0.0,0.0
0.8273999999999825,0.0,0.0
0.8315999999999824,1.8964763112740781,0.0
0.8357999999999823,41.722478848049406,0.0
0.8399999999999822,81.54848138482473,0.0
