phenotype,bodies_n,baseline_map_median_mmHg,time_to_20pct_fall_median_s,time_to_30pct_fall_median_s,time_to_40pct_fall_median_s
combined,4,121.1264663699659,379.49999999965496,416.99999999962085,440.4999999995995
compliance_dominant,4,96.5437605003177,436.499999999603,475.4999999995676,502.499999999543
normotensive,4,95.21316503783466,425.4999999999029,462.4999999998694,487.49999999984664
resistance_dominant,4,119.99505199435166,374.4999999996595,412.49999999962495,435.49999999960403
