body_id,phenotype,baseline_map_mmHg,time_to_20pct_map_fall_s,time_to_30pct_map_fall_s,time_to_40pct_map_fall_s
female_high_bmi,combined,121.03302863976333,426.99999999961176,461.9999999995799,484.999999999559
female_low_bmi,combined,121.18819334752735,245.99999999977624,285.9999999997399,317.9999999997108
male_high_bmi,combined,121.06473939240445,457.9999999995836,491.99999999955264,512.9999999995335
male_low_bmi,combined,121.42775267664746,331.99999999969816,371.9999999996618,395.99999999964
female_high_bmi,compliance_dominant,96.54576551834697,481.9999999995616,518.999999999528,543.9999999995052
female_low_bmi,compliance_dominant,96.89908257011017,278.99999999974625,317.9999999997108,350.9999999996808
male_high_bmi,compliance_dominant,96.2565176525035,521.9999999995254,554.9999999994953,577.9999999994744
male_low_bmi,compliance_dominant,96.54175548228844,390.9999999996444,431.9999999996072,460.9999999995808
female_high_bmi,normotensive,95.18862740998631,476.9999999998561,511.9999999998243,535.9999999998025
female_low_bmi,normotensive,94.94913312788415,268.0000000000462,311.0000000000071,343.9999999999771
male_high_bmi,normotensive,95.34442542993166,513.9999999998225,547.9999999997916,570.9999999997707
male_low_bmi,normotensive,95.237702665683,373.9999999999498,412.9999999999144,438.9999999998907
female_high_bmi,resistance_dominant,120.40999244397585,419.9999999996181,455.9999999995854,477.9999999995654
female_low_bmi,resistance_dominant,119.55879484353426,239.9999999997817,281.9999999997435,313.99999999971453
male_high_bmi,resistance_dominant,120.1180626538316,452.9999999995881,486.9999999995572,508.9999999995372
male_low_bmi,resistance_dominant,119.87204133487171,328.9999999997009,368.9999999996645,392.9999999996427
