vessel,length_m,radius_m,R1_pa_s_m3,R2_pa_s_m3,Cc_m3_pa,baseline_pp_mmHg,delta_pp_E_2p5_mmHg,delta_pp_Cc_0p4_mmHg
external_carotid_R,0.0608968774,0.00226547,939080951.9,3756323807.7,6.031649393e-11,28.48057184842935,22.947648180940256,0.8537347737547947
internal_carotid_R,0.1321099628,0.00276538,576015963.3,2304063853.4,9.833420276e-11,39.19655353142706,12.855061047570402,3.345252748404107
