source,vessel,baseline_pp_mmHg,stiff_pp_mmHg,delta_pp_mmHg,baseline_augmentation_index_pct,stiff_augmentation_index_pct,phase_aligned_normalised_shape_rmse,optimal_phase_shift
Pulse low-pulsatility,aortic_arch_I,20.43408666745006,47.68053713857263,27.24645047112257,2.0504314972325037,,0.07418234648970903,0.004
Pulse low-pulsatility,external_carotid_R,28.48057184842935,51.428220029369605,22.947648180940256,16.127499289253922,,0.11892539152727366,0.016
Pulse low-pulsatility,internal_carotid_R,39.19655353142706,52.05161457899746,12.855061047570402,20.790178970548073,2.001206141665462,0.23904742234516488,0.022
ADAN56 default high-pulsatility,aortic_arch_I,34.40197721747941,72.1599273644928,37.75795014701339,5.072957008770336,5.676447422096368,0.08176450008710218,0.008
ADAN56 default high-pulsatility,external_carotid_R,37.72234150527851,75.78320201368666,38.060860508408155,15.181309615483851,19.714846735416554,0.09675384151286476,0.012
ADAN56 default high-pulsatility,internal_carotid_R,45.51613222538964,76.96117473012792,31.445042504738282,21.0680113671921,24.000855556455292,0.1368047579736708,0.016
