phenotype,bodies_n,map65_median_s,map65_min_s,map65_max_s,shock_events_n,shock_median_s,shock_min_s,shock_max_s,minimum_co_recorded_median_L_min,minimum_co_through_map65_median_L_min
combined,4,452.49999999958857,334.9999999996953,524.9999999995226,4,516.8500000004819,324.4600000002557,623.1200000004884,0.365359386163081,1.4358398389669014
compliance_dominant,4,483.4999999995603,327.9999999997017,560.9999999994899,4,535.7200000004866,334.2000000002661,646.9600000004144,0.8345561409820152,3.045117784781247
normotensive,4,467.4999999998648,316.00000000000256,552.9999999997871,4,525.7,326.68,638.64,0.8256592798502068,3.0572041989740626
resistance_dominant,4,446.499999999594,327.9999999997018,517.999999999529,3,449.400000000437,326.58000000036907,625.36000000039,0.0,1.414144893947494
