case,vessel,systolic_mmHg,diastolic_mmHg,mean_mmHg,pulse_pressure_mmHg,time_to_peak_phase,reflected_wave_present,reflected_wave_phase,augmentation_pressure_mmHg,augmentation_index_pct,openbf_converged,openbf_cycles,openbf_solver_elapsed_s,source,terminal_resistance_scale,terminal_compliance_scale,wall_youngs_modulus_scale
normotensive_arm1_inlet_only,aortic_arch_I,99.56017420281083,79.12608753536077,91.44096798548466,20.43408666745006,0.352,True,0.626,0.41898694920118373,2.0504314972325037,True,5,26.227671729,pulse,1.0533248717747048,1.0,1.0
normotensive_arm1_inlet_only,external_carotid_R,104.20892828212199,75.72835643369264,91.13563867601417,28.48057184842935,0.162,True,0.294,4.593204022430896,16.127499289253922,True,5,26.227671729,pulse,1.0533248717747048,1.0,1.0
normotensive_arm1_inlet_only,internal_carotid_R,114.13073366775193,74.93418013632487,90.96349724804082,39.19655353142706,0.14,True,0.314,8.149033629470367,20.790178970548073,True,5,26.227671729,pulse,1.0533248717747048,1.0,1.0
normotensive_arm2_matched_stiffening,aortic_arch_I,99.56017420281083,79.12608753536077,91.44096798548466,20.43408666745006,0.352,True,0.626,0.41898694920118373,2.0504314972325037,True,5,26.183827685,pulse,1.0533248717747048,1.0,1.0
normotensive_arm2_matched_stiffening,external_carotid_R,104.20892828212199,75.72835643369264,91.13563867601417,28.48057184842935,0.162,True,0.294,4.593204022430896,16.127499289253922,True,5,26.183827685,pulse,1.0533248717747048,1.0,1.0
normotensive_arm2_matched_stiffening,internal_carotid_R,114.13073366775193,74.93418013632487,90.96349724804082,39.19655353142706,0.14,True,0.314,8.149033629470367,20.790178970548073,True,5,26.183827685,pulse,1.0533248717747048,1.0,1.0
resistance_dominant_arm1_inlet_only,aortic_arch_I,118.90326937724862,104.8288239926702,113.61867197657705,14.074445384578425,0.322,True,0.596,0.3971542770459848,2.8218112060113754,True,12,63.516067584,pulse,2.076690990056454,1.0,1.0
resistance_dominant_arm1_inlet_only,external_carotid_R,121.859204624054,103.17774784760785,113.50285796023323,18.681456776446154,0.162,True,0.292,5.984105708219616,32.03232906207005,True,12,63.516067584,pulse,2.076690990056454,1.0,1.0
resistance_dominant_arm1_inlet_only,internal_carotid_R,128.82552532230392,102.54749553862199,113.41009120020799,26.27802978368193,0.132,True,0.302,9.920907939338278,37.753621641371836,True,12,63.516067584,pulse,2.076690990056454,1.0,1.0
resistance_dominant_arm2_matched_stiffening,aortic_arch_I,118.90326937724862,104.8288239926702,113.61867197657705,14.074445384578425,0.322,True,0.596,0.3971542770459848,2.8218112060113754,True,12,62.574696425,pulse,2.076690990056454,1.0,1.0
