phenotype,bodies_n,time_to_map_below_65_s_n,time_to_map_below_65_s_median,time_to_map_below_65_s_min,time_to_map_below_65_s_max,time_to_hypovolemic_shock_s_n,time_to_hypovolemic_shock_s_median,time_to_hypovolemic_shock_s_min,time_to_hypovolemic_shock_s_max,time_to_irreversible_state_s_n,time_to_irreversible_state_s_median,time_to_irreversible_state_s_min,time_to_irreversible_state_s_max,minimum_cardiac_output_L_min_n,minimum_cardiac_output_L_min_median,minimum_cardiac_output_L_min_min,minimum_cardiac_output_L_min_max
combined,4,4,452.49999999958857,334.9999999996953,524.9999999995226,4,516.8500000004819,324.4600000002557,623.1200000004884,2,518.4300000003938,460.0800000002556,576.7800000005319,4,0.365359386163081,0.0,0.7938839853862576
compliance_dominant,4,4,483.4999999995603,327.9999999997017,560.9999999994899,4,535.7200000004866,334.2000000002661,646.9600000004144,2,526.450000000261,462.5400000002661,590.3600000002558,4,0.8345561409820151,0.0,1.8074061377774104
normotensive,4,4,467.4999999998648,316.00000000000256,552.9999999997871,4,525.7,326.68,638.64,2,510.85,449.2,572.5,4,0.8256592798502068,0.0,1.8198907427465565
resistance_dominant,4,4,446.499999999594,327.9999999997018,517.999999999529,3,449.400000000437,326.58000000036907,625.36000000039,3,538.5800000005862,459.9600000003692,585.900000000437,4,0.0,0.0,0.7179743550642352
