case,vessel,metric,metric_class,effect_vs_normotensive,noise_floor,attribution_ratio,passes_1p25x_floor
normotensive_arm2_matched_stiffening,internal_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.0,0.04112379710612243,0.0,False
resistance_dominant_arm1_inlet_only,aortic_arch_I,systolic_mmHg,amplitude,19.343095174437792,5.17739768431899,3.736065172861468,True
resistance_dominant_arm1_inlet_only,aortic_arch_I,diastolic_mmHg,amplitude,25.702736457309427,4.230042473199788,6.0762360236697015,True
resistance_dominant_arm1_inlet_only,aortic_arch_I,mean_mmHg,amplitude,22.177703991092386,4.744868925191952,4.674039334014942,True
resistance_dominant_arm1_inlet_only,aortic_arch_I,pulse_pressure_mmHg,amplitude,6.359641282871635,1.8487021370518306,3.440057300422396,True
resistance_dominant_arm1_inlet_only,aortic_arch_I,time_to_peak_phase,shape,0.02999999999999997,0.10999999999999999,0.2727272727272725,False
resistance_dominant_arm1_inlet_only,aortic_arch_I,reflected_wave_phase,shape,0.030000000000000027,0.272,0.11029411764705892,False
resistance_dominant_arm1_inlet_only,aortic_arch_I,augmentation_pressure_mmHg,amplitude,0.021832672155198907,0.3457850702287715,0.0631394297641434,False
resistance_dominant_arm1_inlet_only,aortic_arch_I,augmentation_index_pct,shape,0.7713797087788716,2.023425080535291,0.38122474422171615,False
resistance_dominant_arm1_inlet_only,aortic_arch_I,phase_aligned_normalised_shape_rmse,shape,0.037019144267654715,0.026479083186176207,1.3980523421966928,True
resistance_dominant_arm1_inlet_only,external_carotid_R,systolic_mmHg,amplitude,17.650276341932013,5.120386039422314,3.447059695507515,True
resistance_dominant_arm1_inlet_only,external_carotid_R,diastolic_mmHg,amplitude,27.449391413915208,4.189590828168193,6.551807214528598,True
resistance_dominant_arm1_inlet_only,external_carotid_R,mean_mmHg,amplitude,22.36721928421906,4.746275062321828,4.712583866405174,True
resistance_dominant_arm1_inlet_only,external_carotid_R,pulse_pressure_mmHg,amplitude,9.799115071983195,1.0128989650885813,9.67432627510507,True
resistance_dominant_arm1_inlet_only,external_carotid_R,time_to_peak_phase,shape,0.0,0.010000000000000009,0.0,False
resistance_dominant_arm1_inlet_only,external_carotid_R,reflected_wave_phase,shape,0.0020000000000000018,0.018000000000000016,0.1111111111111111,False
resistance_dominant_arm1_inlet_only,external_carotid_R,augmentation_pressure_mmHg,amplitude,1.3909016857887195,0.3927117276224408,3.5417880036573655,True
resistance_dominant_arm1_inlet_only,external_carotid_R,augmentation_index_pct,shape,15.904829772816125,0.8350050446611537,19.047585250542205,True
resistance_dominant_arm1_inlet_only,external_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.051104156916124986,0.03817733446863761,1.3385993974541797,True
resistance_dominant_arm1_inlet_only,internal_carotid_R,systolic_mmHg,amplitude,14.694791654551992,5.257513691409031,2.7950077768820303,True
resistance_dominant_arm1_inlet_only,internal_carotid_R,diastolic_mmHg,amplitude,27.61331540229712,4.159181996588586,6.63912168905951,True
resistance_dominant_arm1_inlet_only,internal_carotid_R,mean_mmHg,amplitude,22.446593952167163,4.74706627215852,4.7285191874855705,True
resistance_dominant_arm1_inlet_only,internal_carotid_R,pulse_pressure_mmHg,amplitude,12.918523747745127,1.244158569885144,10.383341850820281,True
resistance_dominant_arm1_inlet_only,internal_carotid_R,time_to_peak_phase,shape,0.008000000000000007,0.008000000000000007,1.0,False
resistance_dominant_arm1_inlet_only,internal_carotid_R,reflected_wave_phase,shape,0.01200000000000001,0.018000000000000016,0.6666666666666666,False
resistance_dominant_arm1_inlet_only,internal_carotid_R,augmentation_pressure_mmHg,amplitude,1.7718743098679113,0.6132047230771605,2.88953141289643,True
resistance_dominant_arm1_inlet_only,internal_carotid_R,augmentation_index_pct,shape,16.963442670823763,0.93417537965626,18.158734473462196,True
resistance_dominant_arm1_inlet_only,internal_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.052947626206360066,0.04112379710612243,1.2875179320072399,True
resistance_dominant_arm2_matched_stiffening,aortic_arch_I,systolic_mmHg,amplitude,19.343095174437792,5.17739768431899,3.736065172861468,True
resistance_dominant_arm2_matched_stiffening,aortic_arch_I,diastolic_mmHg,amplitude,25.702736457309427,4.230042473199788,6.0762360236697015,True
resistance_dominant_arm2_matched_stiffening,aortic_arch_I,mean_mmHg,amplitude,22.177703991092386,4.744868925191952,4.674039334014942,True
resistance_dominant_arm2_matched_stiffening,aortic_arch_I,pulse_pressure_mmHg,amplitude,6.359641282871635,1.8487021370518306,3.440057300422396,True
resistance_dominant_arm2_matched_stiffening,aortic_arch_I,time_to_peak_phase,shape,0.02999999999999997,0.10999999999999999,0.2727272727272725,False
resistance_dominant_arm2_matched_stiffening,aortic_arch_I,reflected_wave_phase,shape,0.030000000000000027,0.272,0.11029411764705892,False
resistance_dominant_arm2_matched_stiffening,aortic_arch_I,augmentation_pressure_mmHg,amplitude,0.021832672155198907,0.3457850702287715,0.0631394297641434,False
resistance_dominant_arm2_matched_stiffening,aortic_arch_I,augmentation_index_pct,shape,0.7713797087788716,2.023425080535291,0.38122474422171615,False
resistance_dominant_arm2_matched_stiffening,aortic_arch_I,phase_aligned_normalised_shape_rmse,shape,0.037019144267654715,0.026479083186176207,1.3980523421966928,True
resistance_dominant_arm2_matched_stiffening,external_carotid_R,systolic_mmHg,amplitude,17.650276341932013,5.120386039422314,3.447059695507515,True
resistance_dominant_arm2_matched_stiffening,external_carotid_R,diastolic_mmHg,amplitude,27.449391413915208,4.189590828168193,6.551807214528598,True
resistance_dominant_arm2_matched_stiffening,external_carotid_R,mean_mmHg,amplitude,22.36721928421906,4.746275062321828,4.712583866405174,True
resistance_dominant_arm2_matched_stiffening,external_carotid_R,pulse_pressure_mmHg,amplitude,9.799115071983195,1.0128989650885813,9.67432627510507,True
resistance_dominant_arm2_matched_stiffening,external_carotid_R,time_to_peak_phase,shape,0.0,0.010000000000000009,0.0,False
resistance_dominant_arm2_matched_stiffening,external_carotid_R,reflected_wave_phase,shape,0.0020000000000000018,0.018000000000000016,0.1111111111111111,False
resistance_dominant_arm2_matched_stiffening,external_carotid_R,augmentation_pressure_mmHg,amplitude,1.3909016857887195,0.3927117276224408,3.5417880036573655,True
resistance_dominant_arm2_matched_stiffening,external_carotid_R,augmentation_index_pct,shape,15.904829772816125,0.8350050446611537,19.047585250542205,True
resistance_dominant_arm2_matched_stiffening,external_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.051104156916124986,0.03817733446863761,1.3385993974541797,True
resistance_dominant_arm2_matched_stiffening,internal_carotid_R,systolic_mmHg,amplitude,14.694791654551992,5.257513691409031,2.7950077768820303,True
resistance_dominant_arm2_matched_stiffening,internal_carotid_R,diastolic_mmHg,amplitude,27.61331540229712,4.159181996588586,6.63912168905951,True
resistance_dominant_arm2_matched_stiffening,internal_carotid_R,mean_mmHg,amplitude,22.446593952167163,4.74706627215852,4.7285191874855705,True
resistance_dominant_arm2_matched_stiffening,internal_carotid_R,pulse_pressure_mmHg,amplitude,12.918523747745127,1.244158569885144,10.383341850820281,True
resistance_dominant_arm2_matched_stiffening,internal_carotid_R,time_to_peak_phase,shape,0.008000000000000007,0.008000000000000007,1.0,False
resistance_dominant_arm2_matched_stiffening,internal_carotid_R,reflected_wave_phase,shape,0.01200000000000001,0.018000000000000016,0.6666666666666666,False
resistance_dominant_arm2_matched_stiffening,internal_carotid_R,augmentation_pressure_mmHg,amplitude,1.7718743098679113,0.6132047230771605,2.88953141289643,True
resistance_dominant_arm2_matched_stiffening,internal_carotid_R,augmentation_index_pct,shape,16.963442670823763,0.93417537965626,18.158734473462196,True
resistance_dominant_arm2_matched_stiffening,internal_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.052947626206360066,0.04112379710612243,1.2875179320072399,True
compliance_dominant_arm1_inlet_only,aortic_arch_I,systolic_mmHg,amplitude,1.5878979029805862,5.17739768431899,0.30669807494021983,False
compliance_dominant_arm1_inlet_only,aortic_arch_I,diastolic_mmHg,amplitude,1.0719188190788458,4.230042473199788,0.25340615983649917,False
compliance_dominant_arm1_inlet_only,aortic_arch_I,mean_mmHg,amplitude,1.2151722468514663,4.744868925191952,0.2561023847044009,False
compliance_dominant_arm1_inlet_only,aortic_arch_I,pulse_pressure_mmHg,amplitude,0.5159790839017404,1.8487021370518306,0.2791034172355015,False
compliance_dominant_arm1_inlet_only,aortic_arch_I,time_to_peak_phase,shape,0.02200000000000002,0.10999999999999999,0.2000000000000002,False
