case,systolic_mmHg,diastolic_mmHg,mean_mmHg,pulse_pressure_mmHg,openbf_converged,openbf_cycles,openbf_solver_elapsed_s
stage4_unscaled,95.35633618204784,74.78432267781764,87.27128590413399,20.5720135042302,True,4,19.22381265
pulse_single_201_published,95.34326790888709,73.88113131595941,87.24344052306024,21.462136592927678,True,4,19.347852091
pulse_average_1001_published,95.39129787240417,74.71461471218895,87.28463667082111,20.67668316021522,True,4,18.977626964
