vessel,maximum_inlet_waveform_rmse_mmHg,stiffness_waveform_rmse_mmHg,stiffness_to_inlet_rmse_ratio,maximum_inlet_absolute_delta_pp_mmHg,stiffness_absolute_delta_pp_mmHg,stiffness_to_inlet_delta_pp_ratio,stiffness_exceeds_tested_inlet_noise
external_carotid_R,4.7548895844086765,7.607945319577915,1.6000256545439946,1.0237013491953206,14.781375222014958,14.439147934731006,True
internal_carotid_R,4.760247646664474,8.397499216919277,1.7640887281995594,1.2093561836953057,5.538090828071233,4.5793711585854355,True
