vessel,shape_correlation,normalised_shape_rmse,phase_aligned_shape_correlation,phase_aligned_normalised_shape_rmse,optimal_bounded_phase_shift,stage3_primary_peak_phase,pulse_primary_peak_phase,pulse_identifiable_peak_count,pulse_peak_phases,shape_plausible,stage3_systolic_mmHg,stage3_diastolic_mmHg,stage3_mean_mmHg,stage3_pulse_pressure_mmHg,stage3_mean_flow_mL_min,pulse_systolic_mmHg,pulse_diastolic_mmHg,pulse_mean_mmHg,pulse_pulse_pressure_mmHg,pulse_mean_flow_mL_min
external_carotid_R,0.8938894393119365,0.14051649155684848,0.9551008951122633,0.09757508033051576,0.026,0.182,0.162,3,0.1620;0.2940;0.6660,True,119.30623970327652,81.52622541030341,103.04247786009506,37.78001429297311,175.69816554047233,104.22138644225035,75.71901046483549,91.1357700332421,28.502375977414857,147.65190965637674
internal_carotid_R,0.863735333444218,0.15686506960716495,0.9337365314120204,0.1263480062403084,0.022,0.162,0.14,3,0.1400;0.3140;0.6860,True,126.48330387376988,80.90546523079793,102.86736255596095,45.577838642971955,285.9898667048002,114.21786880872047,74.92463944254422,90.96363338193468,39.29322936617625,240.29481243399727
