0 5.14184439405e-05
0.00441 9.68500395051e-05
0.00882 0.00014228163507
0.01323 0.000187713230634
0.01764 0.000228272433251
0.02205 0.000256650653496
0.02646 0.000285028873741
0.03087 0.000313407093986
0.03528 0.000341785314232
0.03969 0.000362506210287
0.0441 0.000376265902534
0.04851 0.000390025594781
0.05292 0.000403785287027
0.05733 0.000417544979274
0.06174 0.000423052107077
0.06615 0.000425980308491
0.07056 0.000428908509905
0.07497 0.00043183671132
0.07938 0.000434750256454
0.08379 0.000430683880699
0.0882 0.000426617504944
0.09261 0.000422551129189
0.09702 0.000418484753434
0.10143 0.000413510303638
0.10584 0.000405630016909
0.11025 0.00039774973018
0.11466 0.000389869443452
0.11907 0.000381989156723
0.12348 0.000373385491286
0.12789 0.00036398610927
0.1323 0.000354586727254
0.13671 0.000345187345237
0.14112 0.000335787963221
0.14553 0.000326347606685
0.14994 0.000316890860341
0.15435 0.000307434113997
0.15876 0.000297977367653
0.16317 0.000288520621309
0.16758 0.00027977824429
0.17199 0.000271071585737
0.1764 0.000262364927184
0.18081 0.000253658268631
0.18522 0.000245161880532
0.18963 0.000237559141861
0.19404 0.000229956403191
0.19845 0.00022235366452
0.20286 0.00021475092585
0.20727 0.00020765074722
0.21168 0.000201220648645
0.21609 0.00019479055007
0.2205 0.000188360451495
0.22491 0.000181930352919
0.22932 0.000176211688035
0.23373 0.000170848739997
0.23814 0.000165485791958
0.24255 0.00016012284392
0.24696 0.000154759895882
0.25137 0.000150135106507
0.25578 0.000145588018045
0.26019 0.000141040929583
0.2646 0.000136493841121
0.26901 0.000131989577376
0.27342 0.000127742261927
0.27783 0.000123494946479
0.28224 0.000119247631031
0.28665 0.000115000315582
0.29106 0.000110405246831
0.29547 0.000105245078961
0.29988 0.000100084911092
0.30429 9.49247432227e-05
0.3087 8.97645753533e-05
0.31311 8.22389746118e-05
0.31752 7.3257722872e-05
0.32193 6.42764711322e-05
0.32634 5.52952193924e-05
0.33075 4.63139676526e-05
0.33516 3.69253639856e-05
0.33957 2.74688683308e-05
0.34398 1.80123726759e-05
0.34839 8.55587702106e-06
0.3528 1e-10
0.35721 1e-10
0.36162 1e-10
0.36603 1e-10
0.37044 1e-10
0.37485 1e-10
0.37926 1e-10
0.38367 1e-10
0.38808 1e-10
0.39249 1e-10
0.3969 1e-10
0.40131 1e-10
0.40572 1e-10
0.41013 1e-10
0.41454 1e-10
0.41895 1e-10
0.42336 1e-10
0.42777 1e-10
0.43218 1e-10
0.43659 1e-10
0.441 1e-10
0.44541 1e-10
0.44982 1e-10
0.45423 1e-10
0.45864 1e-10
0.46305 1e-10
0.46746 1e-10
0.47187 1e-10
0.47628 1e-10
0.48069 1e-10
0.4851 1e-10
0.48951 1e-10
0.49392 1e-10
0.49833 1e-10
0.50274 1e-10
0.50715 1e-10
0.51156 1e-10
0.51597 1e-10
0.52038 1e-10
0.52479 1e-10
0.5292 1e-10
0.53361 1e-10
0.53802 1e-10
0.54243 1e-10
0.54684 1e-10
0.55125 1e-10
0.55566 1e-10
0.56007 1e-10
0.56448 1e-10
0.56889 1e-10
0.5733 1e-10
0.57771 1e-10
0.58212 1e-10
0.58653 1e-10
0.59094 1e-10
0.59535 1e-10
0.59976 1e-10
0.60417 1e-10
0.60858 1e-10
0.61299 1e-10
0.6174 1e-10
0.62181 1e-10
0.62622 1e-10
0.63063 1e-10
0.63504 1e-10
0.63945 1e-10
0.64386 1e-10
0.64827 1e-10
0.65268 1e-10
0.65709 1e-10
0.6615 1e-10
0.66591 1e-10
0.67032 1e-10
0.67473 1e-10
0.67914 1e-10
0.68355 1e-10
0.68796 1e-10
0.69237 1e-10
0.69678 1e-10
0.70119 1e-10
0.7056 1e-10
0.71001 1e-10
0.71442 1e-10
0.71883 1e-10
0.72324 1e-10
0.72765 1e-10
0.73206 1e-10
0.73647 1e-10
0.74088 1e-10
0.74529 1e-10
0.7497 1e-10
0.75411 1e-10
0.75852 1e-10
0.76293 1e-10
0.76734 1e-10
0.77175 1e-10
0.77616 1e-10
0.78057 1e-10
0.78498 1e-10
0.78939 1e-10
0.7938 1e-10
0.79821 1e-10
0.80262 1e-10
0.80703 1e-10
0.81144 1e-10
0.81585 1e-10
0.82026 1e-10
0.82467 1e-10
0.82908 1e-10
0.83349 1e-10
0.8379 1e-10
0.84231 1e-10
0.84672 1e-10
0.85113 1e-10
0.85554 1e-10
0.85995 6.49984640765e-07
0.86436 1.45290684406e-06
0.86877 2.25582904736e-06
0.87318 3.05875125066e-06
0.87759 5.98684837593e-06
0.882 5.14184439405e-05
