target,case_id,route,R,C,requested_systolic_mmHg,requested_diastolic_mmHg,achieved_systolic_mmHg,achieved_diastolic_mmHg,status,wall_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,stroke_volume_mL,stationarity_sbp_bin_median_range_mmHg,stationarity_dbp_bin_median_range_mmHg,stationarity_pass,tissue_tuning_simulated_s,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s,cvp_out_of_range_warning_n,outside_reference_warning_seen,J,refinement_step,rerun_status,rerun_systolic_residual_mmHg,rerun_diastolic_residual_mmHg,rerun_pass,distance_from_stock
higher,refine_higher_0.005_R1.985_C0.460,modifier,1.985,0.46,150.0,90.0,148.60512489521057,90.7067870743288,ok,182.54072679698584,148.6796503205317,90.70498716726466,120.88070683215744,72.01517963380984,3.8228383779453754,1.847145151760337,1.0000000000795568,1.000000000004018,1.0000000000515137,0.9999999999803186,0.0,448.9924970495159,266.1501783715438,266.1501783715441,527.797104469927,888.903473920617,578.0245017678537,187.1276782451958,155.53162583084014,57.97466315326703,53.08378590991697,0.0131887604357814,0.016302199767793,True,,180.0,899.0,0,False,0.0055572786847344,0.005,ok,0.07452542532112716,-0.001799907064139461,True,1.1233098414952127
intermediate,refine_intermediate_0.005_R1.715_C0.595,modifier,1.715,0.595,140.0,90.0,139.95366838673382,89.7625889323308,ok,151.63986421600566,139.795325996346,89.56812426119221,115.83779515342552,72.01539781952805,4.228856572205098,1.5938650965976595,1.0000147248077602,1.0000007436771603,1.0000084146017274,0.999997216749215,0.0,495.64481500654665,328.00946847476246,328.0094684747619,582.4234258891058,981.6652314135616,637.8912232238341,206.56989973169124,171.623817090025,50.2272017351538,58.72156094732258,0.0156860512622358,0.0130837684674389,True,,150.0,753.0,0,False,0.0628888209147673,0.005,ok,-0.1583423903878156,-0.19446467113859,True,0.8217359673277056
mild,refine_mild_0.005_R1.300_C0.715,modifier,1.3,0.715,130.0,80.0,129.01287026934924,80.18649564356137,ok,121.82443149801112,128.85003421702768,80.25231888397161,105.83734157665846,72.0142670191615,5.030190469644089,1.2132250457725222,0.9998742011050364,0.9999936465204564,0.9999480109955344,1.0000133059834984,0.0,585.3866633295187,399.867079739566,399.86707973956607,686.1824907643764,1167.1608832248944,750.679131124743,243.9875372741068,201.7384745436152,48.59771533305607,69.84991554945161,0.0070123325198494,0.0066453286135583,True,,120.0,600.0,0,False,0.0308482789137713,0.005,ok,-0.16283605232155196,0.06582324041023924,True,0.4137934267240117
