case_id,route,target,requested_systolic_mmHg,requested_diastolic_mmHg,status,wall_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,stroke_volume_mL,stationarity_sbp_bin_median_range_mmHg,stationarity_dbp_bin_median_range_mmHg,stationarity_pass,tissue_tuning_simulated_s,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s,cvp_out_of_range_warning_n,outside_reference_warning_seen
direct_higher,direct,higher,150.0,90.0,ok,56.33559895600774,148.60512489521057,90.7067870743288,120.9834413754121,72.01150442253504,6.42037813420415,1.0702815104682135,0.9998513165248887,0.99999249073358,0.9999323264559383,1.0000191505299878,0.0,713.3300842555977,647.432607017633,647.4326070176301,837.8626081898658,1417.1794896477645,914.1460634262551,297.02855462549644,246.07081130941282,57.898337820881764,89.15767259258895,0.02513326738008459,0.01189263948353414,True,832.84,28.9,215.0,16,True
direct_intermediate,direct,intermediate,140.0,90.0,ok,53.58028153900523,139.95366838673382,89.7625889323308,116.11325882551132,72.0152678648574,6.1328919673554605,1.0787730116951089,0.9999765332145156,0.9999988148088138,0.9999890807664717,1.0000031701211949,0.0,688.3522711799276,594.6856926901341,594.685692690137,808.1324720308669,1373.3115914526077,881.3429765553277,286.6519644090407,237.41432597294062,50.191079454403024,85.16099639960152,0.015646142531494434,0.008437826084133349,True,390.16,39.7,295.0,0,True
direct_mild,direct,mild,130.0,80.0,ok,39.48648215501453,129.01287026934924,80.18649564356137,106.03468692932063,72.01194388444152,6.169328774904897,0.9774022527998945,0.9998365360270581,0.9999917442437904,0.9999270483086891,1.0000206067615525,0.0,717.8663095337527,566.457622862757,566.457622862758,845.1842766568418,1410.3100281331094,925.358974078621,299.26236012698837,248.94010340702437,48.826374625787864,85.67091015908274,0.013419175587785048,0.0075364239113184794,True,401.08,25.2,185.0,0,True
