case_id,route,target,R,C,replicate,requested_systolic_mmHg,requested_diastolic_mmHg,achieved_systolic_mmHg,achieved_diastolic_mmHg,keep_trace,status,wall_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,stroke_volume_mL,stationarity_sbp_bin_median_range_mmHg,stationarity_dbp_bin_median_range_mmHg,stationarity_pass,tissue_tuning_simulated_s,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s,cvp_out_of_range_warning_n,outside_reference_warning_seen,J,systolic_residual_mmHg,diastolic_residual_mmHg
targeted_mild_rep1_R1.300_C0.720,modifier,mild,1.3,0.72,1,130.0,80.0,129.01287026934924,80.18649564356137,True,ok,77.15725629701046,128.70513045950412,80.40402440966551,105.83230514191057,72.01431152311932,5.029953840275372,1.213224263661131,0.9998782166492227,0.999993849325717,0.9999497181368677,1.0000128569282691,0.0,585.524719720001,400.46846557241815,400.46846557241645,686.3803792017236,1166.8555273398629,750.9220439169333,244.04486041428515,201.80932124460477,48.30110604983861,69.84658651718924,0.00810363096832134,0.006622361130212084,True,,75.6,600.0,0,False,0.14202255464629754,-0.30773980984511695,0.21752876610413807
targeted_mild_rep2_R1.300_C0.720,modifier,mild,1.3,0.72,2,130.0,80.0,129.01287026934924,80.18649564356137,True,ok,76.86857698298991,128.70513045950412,80.40402440966551,105.83230514191057,72.01431152311932,5.029953840275372,1.213224263661131,0.9998782166492227,0.999993849325717,0.9999497181368677,1.0000128569282691,0.0,585.524719720001,400.46846557241815,400.46846557241645,686.3803792017236,1166.8555273398629,750.9220439169333,244.04486041428515,201.80932124460477,48.30110604983861,69.84658651718924,0.00810363096832134,0.006622361130212084,True,,75.3,600.0,0,False,0.14202255464629754,-0.30773980984511695,0.21752876610413807
targeted_mild_rep3_R1.300_C0.720,modifier,mild,1.3,0.72,3,130.0,80.0,129.01287026934924,80.18649564356137,True,ok,78.1409872249933,128.70513045950412,80.40402440966551,105.83230514191057,72.01431152311932,5.029953840275372,1.213224263661131,0.9998782166492227,0.999993849325717,0.9999497181368677,1.0000128569282691,0.0,585.524719720001,400.46846557241815,400.46846557241645,686.3803792017236,1166.8555273398629,750.9220439169333,244.04486041428515,201.80932124460477,48.30110604983861,69.84658651718924,0.00810363096832134,0.006622361130212084,True,,76.4,600.0,0,False,0.14202255464629754,-0.30773980984511695,0.21752876610413807
targeted_intermediate_rep1_R1.720_C0.600,modifier,intermediate,1.72,0.6,1,140.0,90.0,139.95366838673382,89.7625889323308,True,ok,93.40811121699517,139.688330785366,89.8183262777036,115.93600688074808,72.01375085841293,4.2201948458852145,1.5986003222157252,0.9999100564193693,0.9999954573949179,0.9999628609204406,1.0000094981995358,0.0,486.24196658717295,323.03797680193827,323.0379768019375,569.4386261550658,973.8950750333024,622.3623903480291,202.63848044413612,167.22227637775114,49.87000450766239,58.602625131727805,0.006766634115848547,0.006529497592836719,True,,91.9,757.0,0,False,0.07351069436884214,-0.2653376013678326,0.055737345372804725
targeted_intermediate_rep2_R1.720_C0.600,modifier,intermediate,1.72,0.6,2,140.0,90.0,139.95366838673382,89.7625889323308,True,ok,93.59177665700554,139.688330785366,89.8183262777036,115.93600688074808,72.01375085841293,4.2201948458852145,1.5986003222157252,0.9999100564193693,0.9999954573949179,0.9999628609204406,1.0000094981995358,0.0,486.24196658717295,323.03797680193827,323.0379768019375,569.4386261550658,973.8950750333024,622.3623903480291,202.63848044413612,167.22227637775114,49.87000450766239,58.602625131727805,0.006766634115848547,0.006529497592836719,True,,92.1,757.0,0,False,0.07351069436884214,-0.2653376013678326,0.055737345372804725
targeted_intermediate_rep3_R1.720_C0.600,modifier,intermediate,1.72,0.6,3,140.0,90.0,139.95366838673382,89.7625889323308,True,ok,93.98270118999062,139.688330785366,89.8183262777036,115.93600688074808,72.01375085841293,4.2201948458852145,1.5986003222157252,0.9999100564193693,0.9999954573949179,0.9999628609204406,1.0000094981995358,0.0,486.24196658717295,323.03797680193827,323.0379768019375,569.4386261550658,973.8950750333024,622.3623903480291,202.63848044413612,167.22227637775114,49.87000450766239,58.602625131727805,0.006766634115848547,0.006529497592836719,True,,92.6,757.0,0,False,0.07351069436884214,-0.2653376013678326,0.055737345372804725
targeted_higher_rep1_R1.995_C0.465,modifier,higher,1.995,0.465,1,150.0,90.0,148.60512489521057,90.7067870743288,True,ok,74.42958512200858,148.4314697754113,90.73243177118025,120.78325233949437,72.01244657051225,3.8427469439650723,1.8357328144360048,0.9997686022895793,0.9999883132469491,0.9999026275589203,1.0000253781984971,0.0,437.74957587791585,286.4146421809802,286.41464218097866,512.6284689925639,877.689536591984,560.0677337173518,182.4353418500017,150.47377659280005,57.699038004231056,53.362260650349924,0.014793572313493542,0.00889630777898276,True,,73.0,600.0,0,False,0.03081375110909917,-0.17365511979926396,0.025644696851443882
targeted_higher_rep2_R1.995_C0.465,modifier,higher,1.995,0.465,2,150.0,90.0,148.60512489521057,90.7067870743288,True,ok,73.90082500700373,148.4314697754113,90.73243177118025,120.78325233949437,72.01244657051225,3.8427469439650723,1.8357328144360048,0.9997686022895793,0.9999883132469491,0.9999026275589203,1.0000253781984971,0.0,437.74957587791585,286.4146421809802,286.41464218097866,512.6284689925639,877.689536591984,560.0677337173518,182.4353418500017,150.47377659280005,57.699038004231056,53.362260650349924,0.014793572313493542,0.00889630777898276,True,,72.5,600.0,0,False,0.03081375110909917,-0.17365511979926396,0.025644696851443882
targeted_higher_rep3_R1.995_C0.465,modifier,higher,1.995,0.465,3,150.0,90.0,148.60512489521057,90.7067870743288,True,ok,75.1950432919839,148.4314697754113,90.73243177118025,120.78325233949437,72.01244657051225,3.8427469439650723,1.8357328144360048,0.9997686022895793,0.9999883132469491,0.9999026275589203,1.0000253781984971,0.0,437.74957587791585,286.4146421809802,286.41464218097866,512.6284689925639,877.689536591984,560.0677337173518,182.4353418500017,150.47377659280005,57.699038004231056,53.362260650349924,0.014793572313493542,0.00889630777898276,True,,73.8,600.0,0,False,0.03081375110909917,-0.17365511979926396,0.025644696851443882
