body_id,replicate,endpoint,summary,direct,modifier,direct_minus_modifier
male_low_bmi,1,map_mmHg,max_delta,27.64711267291611,26.97527219764956,0.6718404752665492
male_low_bmi,1,map_mmHg,min_delta,-0.09863902469793118,-0.25118959653326556,0.15255057183533438
male_low_bmi,1,map_mmHg,max_abs_delta,27.64711267291611,26.97527219764956,0.6718404752665492
male_low_bmi,1,systolic_mmHg,max_delta,29.934324814100734,27.02870698758278,2.905617826517954
male_low_bmi,1,systolic_mmHg,min_delta,-0.029068147644494502,-0.2560520718210739,0.22698392417657942
male_low_bmi,1,systolic_mmHg,max_abs_delta,29.934324814100734,27.02870698758278,2.905617826517954
male_low_bmi,1,diastolic_mmHg,max_delta,26.147322497623747,29.066841905593662,-2.919519407969915
male_low_bmi,1,diastolic_mmHg,min_delta,-0.5628022069049337,-0.3505934447322545,-0.21220876217267914
male_low_bmi,1,diastolic_mmHg,max_abs_delta,26.147322497623747,29.066841905593662,-2.919519407969915
male_low_bmi,1,svr_mmHg_s_mL,max_delta,0.5465909705616763,0.8835440894902669,-0.3369531189285906
male_low_bmi,1,svr_mmHg_s_mL,min_delta,-1.443790294963776e-05,-0.0017182266277138147,0.001703788724764177
male_low_bmi,1,svr_mmHg_s_mL,max_abs_delta,0.5465909705616763,0.8835440894902669,-0.3369531189285906
male_low_bmi,1,cardiac_output_L_min,max_delta,0.0001471275229780744,0.00425025138759505,-0.004103123864616975
male_low_bmi,1,cardiac_output_L_min,min_delta,-0.9162654225611284,-0.7810893066769404,-0.135176115884188
male_low_bmi,1,cardiac_output_L_min,max_abs_delta,-0.9162654225611284,-0.7810893066769404,-0.135176115884188
male_low_bmi,1,heart_rate_per_min,max_delta,6.861458636576572,11.89222714574862,-5.030768509172049
male_low_bmi,1,heart_rate_per_min,min_delta,-1.8951385372113236,-2.3550930158642984,0.4599544786529748
male_low_bmi,1,heart_rate_per_min,max_abs_delta,6.861458636576572,11.89222714574862,-5.030768509172049
male_low_bmi,1,aortic_sodium_mEq_L,max_delta,1.9683818097930725,0.766933347657158,1.2014484621359145
male_low_bmi,1,aortic_sodium_mEq_L,min_delta,-0.10522159987777968,-0.10129091952882163,-0.003930680348958049
male_low_bmi,1,aortic_sodium_mEq_L,max_abs_delta,1.9683818097930725,0.766933347657158,1.2014484621359145
male_low_bmi,1,renal_plasma_flow_mL_min,max_delta,29.65082800437085,4.708281554966618,24.942546449404233
male_low_bmi,1,renal_plasma_flow_mL_min,min_delta,-98.24438412407017,-96.45081186892372,-1.7935722551464437
male_low_bmi,1,renal_plasma_flow_mL_min,max_abs_delta,-98.24438412407017,-96.45081186892372,-1.7935722551464437
male_low_bmi,1,urine_production_mL_min,max_delta,1.3346490591996019,1.0497991649458451,0.28484989425375673
male_low_bmi,1,urine_production_mL_min,min_delta,-0.6445169186173099,-0.694380018282562,0.04986309966525215
male_low_bmi,1,urine_production_mL_min,max_abs_delta,1.3346490591996019,1.0497991649458451,0.28484989425375673
male_low_bmi,2,map_mmHg,max_delta,27.64711267291611,26.97527219764956,0.6718404752665492
male_low_bmi,2,map_mmHg,min_delta,-0.09863902469793118,-0.25118959653326556,0.15255057183533438
male_low_bmi,2,map_mmHg,max_abs_delta,27.64711267291611,26.97527219764956,0.6718404752665492
male_low_bmi,2,systolic_mmHg,max_delta,29.934324814100734,27.02870698758278,2.905617826517954
male_low_bmi,2,systolic_mmHg,min_delta,-0.029068147644494502,-0.2560520718210739,0.22698392417657942
male_low_bmi,2,systolic_mmHg,max_abs_delta,29.934324814100734,27.02870698758278,2.905617826517954
male_low_bmi,2,diastolic_mmHg,max_delta,26.147322497623747,29.066841905593662,-2.919519407969915
male_low_bmi,2,diastolic_mmHg,min_delta,-0.5628022069049337,-0.3505934447322545,-0.21220876217267914
male_low_bmi,2,diastolic_mmHg,max_abs_delta,26.147322497623747,29.066841905593662,-2.919519407969915
male_low_bmi,2,svr_mmHg_s_mL,max_delta,0.5465909705616763,0.8835440894902669,-0.3369531189285906
male_low_bmi,2,svr_mmHg_s_mL,min_delta,-1.443790294963776e-05,-0.0017182266277138147,0.001703788724764177
male_low_bmi,2,svr_mmHg_s_mL,max_abs_delta,0.5465909705616763,0.8835440894902669,-0.3369531189285906
male_low_bmi,2,cardiac_output_L_min,max_delta,0.0001471275229780744,0.00425025138759505,-0.004103123864616975
male_low_bmi,2,cardiac_output_L_min,min_delta,-0.9162654225611284,-0.7810893066769404,-0.135176115884188
male_low_bmi,2,cardiac_output_L_min,max_abs_delta,-0.9162654225611284,-0.7810893066769404,-0.135176115884188
male_low_bmi,2,heart_rate_per_min,max_delta,6.861458636576572,11.89222714574862,-5.030768509172049
