body_id,case_id,route,R,C,status,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,stationarity_sbp_range_mmHg,stationarity_dbp_range_mmHg,stationarity_pass,objective_J
male_low_bmi,male_low_bmi_search_01,modifier,1.715,0.595,ok,140.31628455950792,89.69210849423679,116.2301160535084,72.01412432376313,4.059616416462718,1.6675383050356605,0.014391608001915301,0.015058173687577892,True,2.9562757747728363
male_low_bmi,male_low_bmi_search_02,modifier,1.815,0.595,ok,141.36344033705132,92.29135765285598,117.91977607117694,72.01134625724369,3.9193663607303506,1.754750183374006,0.015392556542366265,0.01126759704811775,True,13.9524448463784
male_low_bmi,male_low_bmi_search_03,modifier,1.615,0.595,ok,138.9675574013055,87.43308837546395,114.20573771146121,72.0158485554302,4.225028336845002,1.5716755772037745,0.021009845577339092,0.012406069386159402,True,5.6400089018115445
male_low_bmi,male_low_bmi_search_04,modifier,1.715,0.695,ok,137.02345095977824,93.03930059804482,116.08508495088546,72.01337943193906,4.0503328551052125,1.669426134023827,0.008947729306441943,0.011884002080734035,True,13.110934439394804
male_low_bmi,male_low_bmi_search_05,modifier,1.715,0.495,ok,144.50533114005685,86.41510980339132,116.2890800121891,72.01529889981136,4.069481800536169,1.6641941046652462,0.019882570325933102,0.014488804049236137,True,46.200579127923476
male_low_bmi,male_low_bmi_search_06,modifier,1.67393,0.627751,ok,138.54041634875125,89.52828352361703,115.2713087069147,72.0134822411856,4.129043865818248,1.6248382555782759,0.010533043722517732,0.01244888454519355,True,0.06640559422612428
male_low_bmi,male_low_bmi_search_07,modifier,1.77393,0.627751,ok,139.72256235684011,92.30721756902898,117.10785578587036,72.01190865872553,3.9781173629473954,1.715965854416345,0.016249197131941173,0.012016215249857964,True,7.653002756141024
male_low_bmi,male_low_bmi_search_08,modifier,1.57393,0.627751,ok,137.1586102969883,87.33120651821491,113.24287032424473,72.00662100786545,4.295567162243045,1.5316563874881282,0.023276282664340897,0.013736747171051888,True,8.067725897514164
male_low_bmi,male_low_bmi_search_09,modifier,1.67393,0.727751,ok,135.43165556163177,92.5704601675519,115.07281378854317,72.01541385092473,4.121439405237925,1.6250461722966838,0.019779811564319516,0.016259431630814447,True,17.823879435303596
male_low_bmi,male_low_bmi_search_10,modifier,1.67393,0.527751,ok,142.1855909889134,86.28160862870176,115.07760146335104,72.00632688817369,4.155044247475258,1.6114573505229686,0.023597690886958844,0.011949864816443778,True,25.096017830450045
male_low_bmi,male_low_bmi_search_11,modifier,1.68223,0.629164,ok,138.64185320133166,89.90808475081802,115.49118075613217,72.01501722553817,4.112105339481625,1.6349423857437873,0.016425016580313923,0.017416844424516853,True,0.018437466379726403
male_high_bmi,male_high_bmi_search_01,modifier,1.715,0.595,ok,139.6757479346972,89.63142268063723,115.80469991107739,72.01387732769452,4.248363103998774,1.5858343203833478,0.008499547614206904,0.00675669293160297,True,0.9313979531355328
male_high_bmi,male_high_bmi_search_02,modifier,1.815,0.595,ok,140.94691439663237,92.17642231168414,117.73440828105933,72.01253139090065,4.0897485535657845,1.6774590227717512,0.012753145490989937,0.00982614788473768,True,11.350435048126528
male_high_bmi,male_high_bmi_search_03,modifier,1.615,0.595,ok,138.29590833375644,87.47117129691114,113.79118459848785,72.01551789978507,4.413228581093259,1.497536243406495,0.0161122186212026,0.013951858410464979,True,4.947061285329575
male_high_bmi,male_high_bmi_search_04,modifier,1.715,0.695,ok,136.4707378241133,92.58999552379676,115.67756951362496,72.01192265222195,4.245316155832881,1.5852726803448145,0.01133833569519993,0.008364616213626164,True,13.625262889049239
male_high_bmi,male_high_bmi_search_05,modifier,1.715,0.495,ok,143.82091359574042,86.24634490578772,115.90088720282608,72.0137509955127,4.246649889123234,1.587824071782441,0.0062166491908897115,0.00994972292376417,True,37.73921050437778
male_high_bmi,male_high_bmi_search_06,modifier,1.691898,0.612919,ok,138.73684530749048,89.64027770289464,115.33399594397382,72.01515045465148,4.284969700070988,1.5653140023956678,0.013702614204191832,0.011733313168093673,True,0.0009257104373129146
female_low_bmi,female_low_bmi_search_01,modifier,1.715,0.595,ok,140.66958203511228,89.57828416060151,115.89687834706592,72.01051758753303,3.541863256568685,1.9071100887696666,0.010992186334817688,0.010147837712196406,True,0.09019469929142027
