phenotype,bodies_n,baseline_map_median_mmHg,time_to_20pct_map_fall_s_n,time_to_20pct_map_fall_s_median,time_to_20pct_map_fall_s_q1,time_to_20pct_map_fall_s_q3,time_to_30pct_map_fall_s_n,time_to_30pct_map_fall_s_median,time_to_30pct_map_fall_s_q1,time_to_30pct_map_fall_s_q3,time_to_40pct_map_fall_s_n,time_to_40pct_map_fall_s_median,time_to_40pct_map_fall_s_q1,time_to_40pct_map_fall_s_q3,time_to_map65_s_n,time_to_map65_s_median,time_to_map65_s_q1,time_to_map65_s_q3
combined,20,121.10201775449241,20,389.9999999996454,320.4999999997085,427.7499999996111,20,428.4999999996104,361.4999999996713,462.74999999957925,20,451.999999999589,386.4999999996485,485.7499999995583,20,463.49999999957856,398.74999999963734,496.7499999995483
compliance_dominant,20,96.41422779483361,20,448.99999999959175,367.9999999996654,482.9999999995607,20,487.49999999955674,408.4999999996285,519.9999999995271,20,512.499999999534,436.99999999960266,544.7499999995046,20,493.9999999995508,416.749999999621,526.9999999995207
normotensive,20,95.1998037343069,20,442.49999999988756,358.7499999999637,477.99999999985516,20,480.9999999998525,398.74999999992735,513.2499999998232,20,505.9999999998297,426.9999999999016,536.9999999998016,20,485.99999999984794,404.49999999992207,517.9999999998189
resistance_dominant,20,120.0383599292874,20,378.49999999965587,317.49999999971135,420.9999999996172,20,415.99999999962176,357.74999999967474,456.9999999995845,20,437.99999999960176,382.9999999996518,478.99999999956447,20,448.4999999995922,393.9999999996418,489.7499999995547
