phenotype_vs_normotensive,paired_bodies_n,median_time_difference_s,mean_time_difference_s,bootstrap_95pct_low_s,bootstrap_95pct_high_s,earlier_n,later_n,equal_n,wilcoxon_p,holm_adjusted_p
resistance_dominant,20,-57.00000000023803,-53.150000000241526,-62.50000000023297,-42.50000000025125,20,0,0,1.9073486328125e-06,5.7220458984375e-06
compliance_dominant,20,6.999999999703789,7.999999999702834,6.999999999703675,7.9999999997028794,0,20,0,1.9073486328125e-06,5.7220458984375e-06
combined,20,-49.500000000244825,-47.20000000024697,-54.500000000240306,-39.500000000254005,20,0,0,1.9073486328125e-06,5.7220458984375e-06
