time_s,aorta_inflow_mL_s,aorta_inflow_m3_s,aorta_pressure_mmHg
0.0,51.41844394053781,5.141844394053781e-05,74.14122067434839
0.00419999999999991,96.85003950514853,9.685003950514852e-05,74.67126394264402
0.00839999999999982,142.28163506975923,0.00014228163506975922,75.20130721093963
0.012599999999999731,187.71323063436992,0.00018771323063436992,75.73135047923525
0.01679999999999964,228.27243325059936,0.00022827243325059936,76.39114608073555
0.020999999999999554,256.6506534958759,0.0002566506534958759,77.3753225152476
0.025199999999999462,285.0288737411524,0.00028502887374115234,78.35949894975964
0.029399999999999375,313.407093986429,0.00031340709398642897,79.34367538427169
0.03359999999999928,341.78531423170546,0.00034178531423170543,80.32785181878373
0.037799999999999195,362.5062102872235,0.00036250621028722347,81.41892375290035
0.04199999999999911,376.2659025338707,0.0003762659025338707,82.60717341393017
0.04619999999999901,390.0255947805182,0.0003900255947805182,83.79542307496003
0.050399999999998925,403.7852870271657,0.00040378528702716564,84.98367273598988
0.05459999999999884,417.54497927381306,0.000417544979273813,86.17192239701974
0.05879999999999875,423.05210707674826,0.0004230521070767482,87.37675138741706
0.06299999999999865,425.98030849102344,0.00042598030849102343,88.58676141824168
0.06719999999999857,428.9085099052986,0.0004289085099052986,89.79677144906633
0.07139999999999848,431.8367113195738,0.0004318367113195738,91.00678147989098
0.07559999999999839,434.75025645423756,0.00043475025645423754,92.21607131677284
0.0797999999999983,430.6838806992268,0.00043068388069922677,93.33251352829762
0.08399999999999821,426.617504944216,0.000426617504944216,94.44895573982241
0.08819999999999811,422.5511291892052,0.0004225511291892052,95.56539795134721
0.09239999999999803,418.4847534341945,0.0004184847534341945,96.68184016287198
0.09659999999999795,413.5103036378365,0.00041351030363783646,97.76160598318236
0.10079999999999785,405.63001690916735,0.00040563001690916735,98.72400735160664
0.10499999999999776,397.7497301804982,0.0003977497301804982,99.68640872003094
0.10919999999999767,389.8694434518291,0.0003898694434518291,100.64881008845525
0.11339999999999759,381.98915672316,0.00038198915672316,101.61121145687952
0.1175999999999975,373.38549128609856,0.00037338549128609856,102.49001470925504
0.1217999999999974,363.98610926980564,0.0003639861092698056,103.2768600339769
0.1259999999999973,354.58672725351255,0.0003545867272535125,104.06370535869874
0.13019999999999723,345.1873452372196,0.00034518734523721956,104.8505506834206
0.13439999999999713,335.78796322092666,0.0003357879632209266,105.63739600814243
0.13859999999999706,326.347606684817,0.00032634760668481697,106.30095163784041
0.14279999999999696,316.8908603407807,0.00031689086034078067,106.91519138952883
0.14699999999999688,307.43411399674443,0.00030743411399674443,107.52943114121726
0.15119999999999678,297.97736765270815,0.00029797736765270813,108.1436708929057
0.15539999999999668,288.52062130867176,0.00028852062130867173,108.7579106445941
0.1595999999999966,279.7782442895243,0.0002797782442895243,109.22313114478361
0.1637999999999965,271.07158573662133,0.0002710715857366213,109.68090068239816
0.16799999999999643,262.36492718371835,0.0002623649271837183,110.13867022001273
0.17219999999999636,253.65826863081526,0.00025365826863081527,110.59643975762728
0.17639999999999623,245.16188053169668,0.0002451618805316967,111.02851657152407
